DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,InitialYear numeric,FinalYear numeric,Country text,Designation text,MaxSpeed_kts numeric,Accel_ktsps numeric,TurnRate_degps numeric,FuelCapacity_kg numeric,FuelRate_kgps numeric,Toughness numeric,DamageEffect text,RCS_dBsm numeric,RCS_Model text,OpticalCrossSection_dBsm text,IRSignature_dB numeric,IR_ModelA text,IR_ModelB text,IR_ModelC text,EffectiveHeight_m numeric,TS numeric,TS_Model text,AcousticModel text,SL_Model nextumteric,MaxTakeoffWeight_kg numeric,MaxAltitude_m numeric,ClimbRate_mps numeric,Gmax numeric,MinimumRunway_m numeric,IsCarrierCompatible numeric,OutFuelPods numeric,FuelOut_kgps numeric,FuelIn_kgps numeric,MaintenanceMin_s numeric,MaintenanceMax_s numeric,MilitaryThrust_N numeric,MilitaryThrustSpeedSlope real,ABThrust_N numeric,ABThrustSpeedSlope real,ABFuelRate_kgps numeric,Cdpsub numeric,Cdptran numeric,Cdpsup numeric,Mcm numeric,Msupm numeric,CruiseSpeed_mps numeric,StallSpeed_mps numeric,T2 numeric,T4 numeric,T6 numeric,T8 numeric,T10 numeric,T12 numeric,T16 numeric,T20 numeric,T25 numeric,T30 numeric,FE2 numeric,FE4 numeric,FE6 numeric,FE8 numeric,FE10 numeric,FE12 numeric,FE16 numeric,FE20 numeric,FE25 numeric,FE30 numeric
"A-10A","","12","33","","11321","0","","air/AdvicoA10A.jpg","f-16.xml","A-10A Lightning II","","1977.25","1978","USA","CAS","450","20","14","6101.2","0.8477","3","AirDmg2","11","AirRCS1","10.5","0","IR_FW_S_F_HP_2_M0.85","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_Super_M1.1","0","-999","Default","Default","Default","23000","13700","30","6","1300","0","0","0","40","3600","10800","80666","0.001","80666","0.001","0.8477","1.68","2.1","1.4","0.7","1.3","100","50","0.88","0.76","0.64","0.51","0.42","0.32","0.18","0.02","0.002","0.0002","1.08","1.18","1.3","1.45","1.8","3","6","10","10","10"
"A-10A(78)","","12","33","","11321","0","","air/AdvicoA10A.jpg","f-16.xml","A-10A Lightning II","","1978","2012","USA","CAS","450","20","14","6101.2","0.8477","3","AirDmg2","11","AirRCS1","10.5","0","IR_FW_S_F_HP_2_M0.85","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_Super_M1.1","0","-999","Default","Default","Default","23000","13700","30","6","1300","0","0","0","40","3600","10800","80666","0.001","80666","0.001","0.8477","1.68","2.1","1.4","0.7","1.3","100","50","0.88","0.76","0.64","0.51","0.42","0.32","0.18","0.02","0.002","0.0002","1.08","1.18","1.3","1.45","1.8","3","6","10","10","10"
"A-10C","","12","33","","11321","0","","air/AdvicoA10C.jpg","f-16.xml","A-10A Lightning II","","2005","2999","USA","CAS","450","20","14","6101.2","0.8477","3","AirDmg2","11","AirRCS1","10.5","0","IR_FW_S_F_HP_2_M0.85","IR_FW_M_F_HP_2_M0.85","IR_FW_M_F_HP_2_Super_M1.1","0","-999","Default","Default","Default","23000","13700","30","6","1300","0","0","0","40","3600","10800","80666","0.001","80666","0.001","0.8477","1.68","2.1","1.4","0.7","1.3","100","50","0.88","0.76","0.64","0.51","0.42","0.32","0.18","0.02","0.002","0.0002","1.08","1.18","1.3","1.45","1.8","3","6","10","10","10"
"A-1D","","12","33","","5575","0","","air/AdvicoA1D.jpg","harrier-gr3.xml","","","1947","1953","USA","CAS","350","22.39","22","1156","0.17","1","AirDmg1","14","AirRCS1","7.3","0","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_Super_M1.1","0","-999","Default","Default","Default","11340","7925","21","5","0","1","0","0","0","3600","10800","30197","-0.0021","31706","-0.0021","0.17","0.8","1.2","0.96","0.85","1.2","60","35","1","1","0.828","0.4","0.052","0","0","0","0","0","0.9","0.835","0.9","1.3","2.5","3.5","4.5","5","20","40"
"A-1E","","12","33","","4787","0","","air/AdvicoA1E.jpg","harrier-gr3.xml","","","1947","1953","USA","CAS","350","22.39","22","1156","0.17","1","AirDmg1","14","AirRCS1","7.3","0","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_Super_M1.1","0","-999","Default","Default","Default","11340","7925","21","5","0","1","0","0","0","3600","10800","30197","-0.0021","31706","-0.0021","0.17","0.8","1.2","0.96","0.85","1.2","60","35","1","1","0.828","0.4","0.052","0","0","0","0","0","0.9","0.835","0.9","1.3","2.5","3.5","4.5","5","20","40"
"A-1G","","12","33","","4787","0","","air/AdvicoA1G.jpg","harrier-gr3.xml","","","1947","1953","USA","CAS","350","22.39","22","1156","0.17","1","AirDmg1","14","AirRCS1","7.3","0","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_Super_M1.1","0","-999","Default","Default","Default","11340","7925","21","5","0","1","0","0","0","3600","10800","30197","-0.0021","31706","-0.0021","0.17","0.8","1.2","0.96","0.85","1.2","60","35","1","1","0.828","0.4","0.052","0","0","0","0","0","0.9","0.835","0.9","1.3","2.5","3.5","4.5","5","20","40"
"A-1H","","12","33","","4787","0","","air/AdvicoA1H.jpg","harrier-gr3.xml","","","1947","1953","USA","CAS","350","22.39","22","1156","0.17","1","AirDmg1","14","AirRCS1","7.3","0","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_Super_M1.1","0","-999","Default","Default","Default","11340","7925","21","5","0","1","0","0","0","3600","10800","30197","-0.0021","31706","-0.0021","0.17","0.8","1.2","0.96","0.85","1.2","60","35","1","1","0.828","0.4","0.052","0","0","0","0","0","0.9","0.835","0.9","1.3","2.5","3.5","4.5","5","20","40"
"A-1J","","12","33","","4787","0","","air/AdvicoA1J.jpg","harrier-gr3.xml","","","1947","1953","USA","CAS","350","22.39","22","1156","0.17","1","AirDmg1","14","AirRCS1","7.3","0","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_M0.85","IR_FW_S_F_P_1_Super_M1.1","0","-999","Default","Default","Default","11340","7925","21","5","0","1","0","0","0","3600","10800","30197","-0.0021","31706","-0.0021","0.17","0.8","1.2","0.96","0.85","1.2","60","35","1","1","0.828","0.4","0.052","0","0","0","0","0","0.9","0.835","0.9","1.3","2.5","3.5","4.5","5","20","40"
"A-20A","","12","33","","6827","","","air/AdvicoA20A.jpg","c-130.xml","A-20A","thrust estimated by HP * 1/3 * prop_area_m2.  propstall modelled with negative speed slope.  Assuming 36m2 when unknown.","1939","2999","USA","Strike Fighter","320","20","12","4479.5","0.8","1","AirDmg1","4.77","AirRCS1","7.43","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_AB_M0.85","IR_FW_S_F_HP_1_Super_M2","0","-999","Default","Default","Default","12338","7225","10.2","4.5","741","0","0","0","15","5400","5400","38400","-0.0021","38400","-0.0021","0.8","1.065","1.8","1.6","0.8","1.2","76","43.2","0.9","0.82","0.6","0.2","0","0","0","0","0","0","1","0.95","1.1","1.4","3","5","5","5","5","5"
"A-3A","","12","33","","16329","0","","air/AdvicoA3A.jpg","harrier-gr3.xml","","","1962","2999","USA","Bomber","575","22.39","8","13326","1.9405","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.1","0","-999","Default","Default","Default","31752","12649","26.57","4","2000","1","0","0","30","3600","10800","88966","0.0042","88966","0.0042","1.9405","1.987","2.981","2.385","0.8","1.3","117.5505","50.2612","0.9","0.745","0.62","0.495","0.395","0.295","0","0","0","0","1.025","1.05","1.1","1.15","1.2","1.45","1.8","5","20","40"
"A-3B","","12","33","","18000","0","","air/AdvicoA3B.jpg","harrier-gr3.xml","","","1962","2999","USA","Bomber","600","22.39","8","13183","2.2035","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.1","0","-999","Default","Default","Default","35130","12527","30.99","4","1844","1","0","0","30","3600","10800","93414","0.0042","93414","0.0042","2.2035","2.3","3.45","2.76","0.8","1.2","117.5505","50.2612","0.935","0.78","0.64","0.525","0.425","0.315","0.1","0","0","0","0.98","0.95","0.92","0.9","0.96","1.15","1.5","5","20","40"
"A3D-1","","12","33","","16329","0","","air/AdvicoA3D1.jpg","harrier-gr3.xml","","","1956.2486","1962","USA","Bomber","575","22.39","8","13326","1.9405","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.1","0","-999","Default","Default","Default","31752","12649","26.57","4","2000","1","0","0","30","3600","10800","88966","0.0042","88966","0.0042","1.9405","1.987","2.981","2.385","0.8","1.3","117.5505","50.2612","0.9","0.745","0.62","0.495","0.395","0.295","0","0","0","0","1.025","1.05","1.1","1.15","1.2","1.45","1.8","5","20","40"
"A3D-1Q","","12","33","","16329","0","","air/AdvicoA3D1Q.jpg","harrier-gr3.xml","","","1956.0464","1962","USA","Bomber","575","22.39","8","13326","1.9405","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.1","0","-999","Default","Default","Default","31752","12649","26.57","4","2000","1","0","0","30","3600","10800","88966","0.0042","88966","0.0042","1.9405","1.987","2.981","2.385","0.8","1.3","117.5505","50.2612","0.9","0.745","0.62","0.495","0.395","0.295","0","0","0","0","1.025","1.05","1.1","1.15","1.2","1.45","1.8","5","20","40"
"A3D-2","","12","33","","18000","0","","air/AdvicoA3D2.jpg","harrier-gr3.xml","","","1956.2486","1962","USA","Bomber","600","22.39","8","13183","2.2035","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.1","0","-999","Default","Default","Default","35130","12527","30.99","4","1844","1","0","0","30","3600","10800","93414","0.0042","93414","0.0042","2.2035","2.3","3.45","2.76","0.8","1.2","117.5505","50.2612","0.935","0.78","0.64","0.525","0.425","0.315","0.1","0","0","0","0.98","0.95","0.92","0.9","0.96","1.15","1.5","5","20","40"
"A3D-2P","","12","33","","18685","0","","air/AdvicoA3D2P.jpg","harrier-gr3.xml","","","1959.5808","1962","USA","Bomber","600","22.39","8","13408","2.2035","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.1","0","-999","Default","Default","Default","35381","12588","31.24","4","2000","1","0","0","30","3600","10800","93414","0.0042","93414","0.0042","2.2035","2.3","3.45","2.76","0.8","1.2","117.5505","50.2612","0.935","0.78","0.64","0.525","0.425","0.315","0.1","0","0","0","0.98","0.95","0.92","0.9","0.96","1.15","1.5","5","20","40"
"A3D-2Q","","12","33","","18685","0","","air/AdvicoA3D2Q.jpg","harrier-gr3.xml","","","1959.8329","1962","USA","Bomber","600","22.39","8","13408","2.2035","1","AirDmg1","15","AirRCS1","7.8","0","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_M0.85","IR_FW_M_H_LP_2_Super_M1.1","0","-999","Default","Default","Default","35381","12588","31.24","4","1844","1","0","0","30","3600","10800","93414","0.0042","93414","0.0042","2.2035","2.3","3.45","2.76","0.8","1.2","117.5505","50.2612","0.935","0.78","0.64","0.525","0.425","0.315","0.1","0","0","0","0.98","0.95","0.92","0.9","0.96","1.15","1.5","5","20","40"
"A-4A","","12","33","","3810.24","0","","air/AdvicoA4A.jpg","harrier-gr3.xml","","","1962","1964.19","USA","Bomber","725","22.39","14","2461.59","0.79394","1","AirDmg1","6.2","AirRCS1","4.3","0","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_M0.85","IR_FW_S_F_HP_1_Super_M1.2","0","-999","Default","Default","Default","10206","12880","39","6","0","1","0","0","20","3600","10800","34251","0.002","34251","0.002","0.79394","0.8","1.2","0.96","0.85","1.2","80","45","1","0.95","0.9","0.9","0.6","0.3","0","0","0","0","0.98","0.95","0.88","1","1.3","2","5","5","20","40"
