DatabaseClass text,AirClass text,Quantity numeric,Prefix text,ReadyLevel numeric
"Nimitz CVN-68 USS Nimitz 750716-A","F-4J","12","Shamrock ","1"
"Nimitz CVN-68 USS Nimitz 750716-A","F-4J","12","Tomcat ","1"
"Nimitz CVN-68 USS Nimitz 750716-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 750716-A","A-7E","12","Winder ","1"
"Nimitz CVN-68 USS Nimitz 750716-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 750716-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 750716-A","EA-6B","6","Zappers ","1"
"Nimitz CVN-68 USS Nimitz 750716-A","E-2B","6","Sun Kings ","1"
"Nimitz CVN-68 USS Nimitz 750716-A","SH-3G","6","Fleet Angels ","1"
"Nimitz CVN-68 USS Nimitz 760707-A","F-4J","12","Shamrock ","1"
"Nimitz CVN-68 USS Nimitz 760707-A","F-4J","12","Devil ","1"
"Nimitz CVN-68 USS Nimitz 760707-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 760707-A","A-7E","12","Winder ","1"
"Nimitz CVN-68 USS Nimitz 760707-A","A-6E","6","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 760707-A","KA-6D","4","Raygun ","1"
"Nimitz CVN-68 USS Nimitz 760707-A","EA-6B","6","Zappers ","1"
"Nimitz CVN-68 USS Nimitz 760707-A","E-2B","6","Sun Kings ","1"
"Nimitz CVN-68 USS Nimitz 760707-A","SH-3G","6","Fleet Angels ","1"
"Nimitz CVN-68 USS Nimitz 760707-A","RA-5C","4","Hoot Owls ","1"
"Nimitz CVN-68 USS Nimitz 770707-A","F-4J","12","Shamrock ","1"
"Nimitz CVN-68 USS Nimitz 770707-A","F-4J","12","Devil ","1"
"Nimitz CVN-68 USS Nimitz 770707-A","A-7E","12","Claw ","1"
"Nimitz CVN-68 USS Nimitz 770707-A","A-7E","12","Winder ","1"
