DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,Damage numeric,DamageModel text,DamageEffect text,LaunchSpeed_mps numeric,targetFlags numeric,MinLaunchAlt_m numeric,MaxLaunchAlt_m numeric,MinRange_km numeric,MaxRange_km numeric,ProbNoFaults numeric,PayloadClass text,PayloadQuantity numeric,DatalinkRange_km real,AcceptsUserCommands numeric,DetonationRange_m numeric,BallisticType numeric,AngleError_rad numeric,BurstCount numeric,BurstDuration_s numeric,ClusterCount numeric,ClusterEffectRadius_m numeric,SensorClass numeric,SmartMaxClimb_rad numeric,SmartError_m numeric,LockOnAfterLaunch numeric
".30 cal bullet","","14","512","0","0.02","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml",".30 cal bullet - Range 2km - Damage 0.12 - ETA 3 Seconds","","0.11","SolidProjectile","ToughWeapon","880","7","0","99999","0.2","2","1","","","0","0","0","0","0.002","7","0.21","","","","0","0","0"
".50 cal bullet","","14","512","0","0.03","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","","","0.3","SolidProjectile","ToughWeapon","880","7","0","99999","0.2","2","1","","","0","0","0","0","0.002","","","","","","0","0","0"
"100mm OEA F1 HE","","14","512","0","13.5","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","100mm OEA F1 HE - Range 12km - Damage 9.05 - ETA 15 Seconds","","9.05","SolidProjectile","ToughWeapon","855","7","0","99999","0.2","12","1","","","0","0","0","0","0.00272","0","","","","","0","0","0"
"100mm OF-58 FRAG","","14","512","0","15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","100mm OF-58 FRAG - Range 21km - Damage 12.18 - ETA 24 Seconds","","12.18","SolidProjectile","ToughWeapon","880","5","0","99999","0.2","21","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"100mm OPF F4 PFHE","","14","512","0","13.5","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","100mm OPF F4 PFHE - Range 12km - Damage 8.9 - ETA 15 Seconds","","8.9","SolidPen0.001kg","ToughWeapon","855","7","0","99999","0.2","17.26","1","","","0","0","0","0","0.0030356","0","","1350","9","","0","0","0"
"100mm ZS-58 AA","","14","512","0","15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","100mm ZS-58 AA - Range 10km - Damage 12.18 - ETA 12 Seconds","","12.18","SolidProjectile","ToughWeapon","880","15","0","99999","0.2","10","1","","","0","0","0","2","0.0026","0","","","","","0","0","0"
"100mm ZS-58P AA","","14","512","0","15","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","100mm  ZS-58P AA - Range 10km - Damage 12.18 - ETA 12 Seconds","","12.18","SolidProjectile","ToughWeapon","880","15","0","99999","0.2","10","1","","","0","0","0","2","0.0026","0","","","","","0","0","0"
"114mm N4A1 HE","","14","512","0","20","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","114mm HE N4A1 - Range 22km - Damage 17 - ETA 26 Seconds","","17","Pen3kg","ToughWeapon","869","7","0","99999","0.2","22","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"114mm N4A1 HE-ER","","14","512","0","20","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","114mm HE ER - Range 27.5km - Damage 16.64 - ETA 32 Seconds","","16.64","Pen3kg","ToughWeapon","869","5","0","99999","0.2","27.5","1","","","0","0","0","0","0.0032","0","","","","","0","0","0"
"114mm N4A1 HE-ER(AA fuse)","","14","512","0","20","0","1900","2999","","","","ball/gunammoico.jpg","5-inch.xml","114mm HE ER - Range 27.5km - Damage 16.64 - ETA 32 Seconds","","16.64","Blast3kg","ToughWeapon","869","5","0","99999","0.2","27.5","1","","","0","0","0","2","0.0032","0","","","","","0","0","0"
