AreaName numeric,DateStart numeric,DateEnd numeric,PeriodName numeric
"Armenia","03/04/1922","09/21/1991","Armenian SSR"
"Azerbaijan","04/28/1920","10/18/1991","Azerbaijan SSR"
"Bosnia and Herzegovina","01/31/1946","01/01/1992","Yugoslavia"
"Belarus","01/01/1920","08/25/1991","Belorussian SSR"
"Belize","01/01/1862","01/01/1973","British Honduras"
"Central African Republic","09/01/1976","12/05/1976","Central African Empire"
"Democratic Republic of the Congo","10/27/1971","05/17/1997","Zaire"
"Czech Republic","01/01/1948","01/01/1993","Czechoslovakia"
"Estonia","08/06/1940","09/06/1991","Estonian SSR"
"Ethiopia","01/01/1900","09/01/1974","Abyssinia"
"Georgia","01/01/1936","04/10/1991","Georgian SSR"
"Croatia","01/31/1946","01/01/1992","Yugoslavia"
"Kazakhstan","01/01/1936","12/16/1991","Kazakh SSR"
"Kyrgyzstan","12/05/1936","08/31/1991","Kirghiz SSR"
"Lithuania","01/01/1944","09/17/1991","Lithuanian SSR"
"Latvia","08/05/1940","08/21/1991","Latvian SSR"
"Moldova","08/02/1940","08/27/1991","Moldavian SSR"
"Macedonia","01/31/1946","01/01/1992","Yugoslavia"
"Myanmar","01/04/1948","01/01/1989","Burma"
"Montenegro","01/31/1946","01/01/1992","Yugoslavia"
"Republic of Serbia","01/31/1946","01/01/1992","Yugoslavia"
"Slovakia","01/01/1948","01/01/1993","Czechoslovakia"
"Slovenia","01/31/1946","01/01/1992","Yugoslavia"
"Tajikistan","12/05/1929","09/09/1991","Tajik SSR"
"Turkmenistan","08/07/1921","10/27/1991","Turkmen SSR"
"Ukraine","01/01/1922","08/24/1991","Ukrainian SSR"
"Uzbekistan","01/01/1924","09/01/1991","Uzbek SSR"
"Zimbabwe","11/11/1965","06/01/1979","Rhodesia"
"Zimbabwe","06/01/1979","04/18/1980","Zimbabwe Rhodesia"
