Name1 text primary key,Name2 text
"A-7E Corsair II","A-7E(79)"
"Aist ACV","Pr 12321 Dzheyran"
"Akula 971/971I/09710 SSN","Pr 971 Shchuka-B"
"Albatros Type 143B","Albatros Type 143A"
"Alligator LSTM","Pr 1171 Tapir"
"Alpinist AGIM","Pr 503M"
"Amga AEM","Pr 1791"
"Balzam AGIM","Pr 1826 Rubidiy"
"Boris Chilikin AOR","Pr 1559V Morskoy Prostor"
"Cassard F70","Cassard(92)"
"Charles de Gaulle","CV R91 Charles de Gaulle"
"Clemenceau","CVN R98 Clemenceau/R99 Foch"
"Delta III 667BDR SSBN","Pr 667BDR Kalmar"
"Delta IV 667BDRM SSBN","Pr 667BDRM Delfin"
"Dergach PGGJM","Pr 1239 Sivuch"
"E2-C","E-2C"
"E2-T	","E-2T"
"E2-T","E-2T"
"Elbrus ASRH","Pr 537 Osmimol"
"Enterprise CVNM","CVN-65 (Enterprise) USS Enterprise"
"F-16C","F-16C/D Blk 25"
"Gepard FFGM","Pr 11661 Yastreb"
"Gepard Type 143A (1992)","Gepard Type 143 (1992)"
"Gepard Type 143A","Gepard Type 143"
"Giuseppe Garibaldi CV","CV-551 Giuseppe Garibaldi"
"Giuseppe Garibaldi CV(2003)","CV-551 Giuseppe Garibaldi(2003)"
"Gorya MHOM","Pr 12660 Rubin"
"Grisha III FFLM","Pr 1124M Albatros"
"Grisha V FFLM","Pr 1124ME Albatros"
"Hermes","R12 Hermes CV"
"Horizon CNGF (France)","Forbin"
"Horizon CNGF (Italy)","Andrea Doria"
"Hyuga CVH","CV/DDH Hyuga"
"Invincible CV","CV (R05/6/7) Invincible"
"Ivan Susanin PGH","Pr 97P"
"John F Kennedy CVN","CV-67 (JFK) USS John F Kennedy"
"Kara CGHM","Pr 1134B Berkut B"
"Kashin DDGM","Pr 61 Kashin"
"Kiev CVH","Pr 1143 Krechet"
"Kilo 877M SSK","Pr 877M Paltus"
"Kilo-877E SSK","Pr 877E Paltus"
"Kirov CGHMN","Pr 1144 Orlan"
"Kitty Hawk CVN","CVN-64 -67 (Kitty Hawk) Kitty Hawk"
"Krivak I FFM","Pr 1135 Burevestnik"
"Krivak II FFHM","Pr 11351 Nerey"
"Krivak II FFM","Pr 1135M Burevestnik-M"
"Kuznetsov CVN","Pr 11435 Brezhnev"
"Laoning CV","Liaoning CV"
"Lebed ACV","Pr 1206 Kalmar"
"Liaoning CV","CV (Kuznetsov) Liaoning"
"Lida MHC","Pr 10750 Sapfir"
"Los Angeles (1985)","SSN 688 Los Angeles (1985)"
"Los Angeles (1988)","SSN 688 Los Angeles Improved"
"Los Angeles Improved","SSN 688 Los Angeles Improved"
"Los Angeles","SSN 688 Los Angeles"
"Matka PGGK","Pr 206MR Vikhr"
"MiG-21","MiG-21F"
"Mirazh PBF","Pr 14310 Mirazh"
"Mukha PGK","Pr 11451 Sokol-2"
"Nanuchka III FSGM","Pr 12341 Ovod-1"
"Nanuchka IV FSG","Pr 12347 Nakat"
"Natya MSOM","Pr 266M Akvamarin-M"
"Neustrashimy FFHM","Pr 11540 Yastreb"
"Nimitz CVN","Nimitz CVN-68 USS Nimitz"
"Nimitz CVN(RCOH)","Nimitz CVN-68 USS Nimitz(RCOH)"
"Nimitz CVN-68 USS Nimitz","CVN-68 (Nimitz) USS Nimitz"
"Nimitz CVN-69 USS Dwight D. Eisenhower","CVN-69 (Nimitz) USS Dwight D. Eisenhower"
"Nimitz CVN-70 USS Carl Vinson","CVN-70 (Nimitz) USS Carl Vinson"
"Nimitz CVN-71 USS Theodore Roosevelt","CVN-71 (Nimitz) USS Theodore Roosevelt"
"Nimitz CVN-72 USS Abraham Lincoln","CVN-72 (Nimitz) USS Abraham Lincoln"
"Nimitz CVN-73 USS George Washington","CVN-73 (Nimitz) USS George Washington"
"Nimitz CVN-74 USS John C. Stennis","CVN-74 (Nimitz) USS John C. Stennis"
"Nimitz CVN-75 USS Harry S. Truman","CVN-75 (Nimitz) USS Harry S. Truman"
"Nimitz CVN-76 USS Ronald Reagan","CVN-76 (Nimitz) USS Ronald Reagan"
"Nimitz CVN-77 USS George H.W. Bush","CVN-76 (Nimitz) USS George H.W. Bush"
"Ohio SSGN (2008)","SSGN 726 Ohio"
"Ohio","SSBN 726 Ohio"
"Oscar II 949B SSGN","Pr 949A Antey"
"Oscar II","Pr 949A Antey"
"Parchim II FFLM","Pr 1131M"
"Polnocny C LSM","Pr 771 Polnocny-B"
"Pomornik ACVM","Pr 12322 Zubr"
"Pr 670M Skat-M","Pr 670M Chayka"
"Pr 971A Shchuka-B","Pr 971I Irbis"
"Princippe de Asturias CV","CV R11 Princippe de Asturias"
"R12 Hermes CV (1966)","CV R12 Hermes (1966)"
"R12 Hermes CV","CV R12 Hermes"
"Ropucha LSTM","Pr 775  Ropucha"
"Seawolf","SSN 21 Seawolf"
"Shi Lang CVN","Liaoning CV"
"Sierra I 945 SSN","Pr 945 Barrakuda"
"Sierra II 945B SSN","Sierra II 945B SSN"
"Slava CGHM","Pr 1164 Atlant"
"Sonya MHSC","Pr 1265 Yakhont"
"Sovremenny (E) DDG","Pr 956E Sarych"
"Sovremenny (EM) DDG","Pr 956EM Sarych"
"Sovremenny DDG","Pr 956E Sarych"
"Sovremenny DDGHM","Pr 956 Sarych"
"Spruance Class DDGHM","Spruance DDG VLS"
"Stenka PBF","Pr 205P Tarantul"
"Steregushchiy FFGHM","Pr 20380 Steregushchiy"
"Sturgeon","SSN 637 Sturgeon"
"Super Etendard","Super Etendard M"
"Svetlyak PGM","Pr 10410 Svetlyak"
"Tarantul II FSGM","Pr 12410 Molniya"
"Tarantul III FSGM","Pr 1241RE Molniya"
"Test1","Test2"
"Typhoon 941/941U SSBN","Pr 941 Akula"
"Udaloy DDGHM","Pr 1155 Fregat"
"Udaloy II DDGHM","Pr 11551 Fregat-M"
"Victor III 671RTMK SSN","Pr 671RTMK Shchuka"
"Vishniya AGIM","Pr 864 Meridian"
"Yankee Notch 667AR/AT SSN","Pr 667AT Gruscha"
"Yasen 885 SSGN","Pr 885 Yasen"
