DatabaseClass text primary key,NATO_ASCC text,ModelClassId integer,ClassificationId integer,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError real,AngleError_deg real,ElevationError_deg real,MinFrequency_Hz real,MaxFrequency_Hz real,IdThreshold_dB numeric,CounterMeasureFactor real,IsSurveillance integer,EcmType text,ERP_dBW numeric,EffectivenessRating real,IsEffectiveVsSurveillance integer,IsEffectiveVsSeeker integer
"ECM-A","","0","0","0","0","0","1900","2999","","","","","","ECM, 60 dBw, 0.4Ghz to 100Ghz, effects:Radars            Simple high power barrage jammer ECM","scan period is 10","400","0","360","-90","90","10","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","60","1","1","0"
"ALQ-99","","0","0","0","0","0","1900","2999","","","","","","ECM, 80 dBw, 0.4Ghz to 100Ghz, effects:Radars and Seekers            ALQ-99 Tactical Jamming System","","150","0","360","-90","90","5","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","40","1","1","1"
"ALQ-161A ECM","","0","0","0","0","0","1900","2999","","","","","","ECM, 60 dBw, 0.4Ghz to 100Ghz, effects:Seekers            ECM component of ALQ-161 integrated RF CM system for B-1B","","50","0","360","-90","90","5","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","60","1","0","1"
"L-005S","","0","0","0","0","0","1900","2999","","","","","","ECM, 40 dBw, 6Ghz to 10.5Ghz, effects:Radars and Seekers            L-005S Sorbtsiya-S defensive jammer (H/I band)","Marcos Viniegra","150","0","360","-45","45","5","GenericSensor","0","0","90","6000000000","10500000000","99","1","0","Jammer","40","1","1","1"
"EL/L-8222","","0","0","0","0","0","1900","2999","","","","","","ECM, 41 dBw, 0.4Ghz to 100Ghz, effects:Radars and Seekers            EL/L-8222 radar jammer ECM pod","Marcos Viniegra","100","0","360","-45","45","3","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","41","1","1","1"
"NS9005AV-2","","0","0","0","0","0","1900","2999","","","","","","ECM, 30 dBw, 5Ghz to 18Ghz, effects:Radars and Seekers            Jammer NS9005A(V)2","Marcos Viniegra","200","0","360","0","60","3","GenericSensor","0","0","90","5000000000","18000000000","99","1","0","Jammer","30","1","1","1"
"LAMBDA-F CME","","0","0","0","0","0","1900","2999","","","","","","ECM, 35 dBw, 5Ghz to 100Ghz, effects:Radars            Self defense jammer","Marcos Viniegra","70","0","360","0","45","5","GenericSensor","0","0","90","5000000000","100000000000.0","99","1","0","Jammer","35","1","1","0"
"SCIMITAR","","0","0","0","0","0","1900","2999","","","","","","ECM, 40 dBw, 8Ghz to 16Ghz, effects:Radars and Seekers            Scimitar jammer, NATO version of the Ramses system operating over 8-16 GHz","Marcos Viniegra. Dewitt-jammer set up as omnidirectional where really has 7x7 deg beam. Need better modeling to handle limited az/el coverage of jammers. Setting effectivenessRating lower for now. Amram-is intended to also deal weith missile seekers, hense the change in bandwidth.","100","0","360","0","45","3","GenericSensor","0","0","90","8000000000","16000000000","99","1","0","Jammer","40","0.25","1","1"
"ALQ-119","","0","0","0","0","0","1900","2999","","","","","","ECM, 80 dBw, 0.4Ghz to 100Ghz, effects:Radars and Seekers            ALQ-119 Tactical Jamming System","","150","0","360","-90","90","5","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","80","1","1","1"
"ALQ-117","","0","0","0","0","0","1900","2999","","","","","","ECM, 30 dBw, 0.4Ghz to 100Ghz, effects:Radars and Seekers            ALQ-117 PAVE MINT active countermeasures set","Operational in late 1970s","30","0","360","-90","90","5","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","30","0.5","1","1"
"Baikal ECM","","0","0","0","0","0","1900","2999","","","","","","ECM, 52 dBw, 0.4Ghz to 100Ghz, effects:Seekers            ECM component of Baikal inegrated EW system installed aboard Russian Tu-160 Blackjack bomber.","Contributed by greengills","50","0","360","-90","90","2","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","52","0.6","0","1"
"MP-407E ECM","Wine Glass ECM","0","0","0","0","0","1900","2999","","","","","","ECM, 52 dBw, 2.4Ghz to 18Ghz, effects:Radars and Seekers            NATO Wine Glass. Anti-surveillance and anti-Guidance jamming equipment installed aboard several Russian surface combatants.","Contributed by greengills","250","0","360","-30","80","1","GenericSensor","0","0","15","2400000000","18000000000","99","1","0","Jammer","52","0.6","1","1"
"Type 984/985 ECM","","0","0","0","0","0","1900","2999","","","","","","ECM, 40 dBw, 8Ghz to 16Ghz, effects:Seekers            Dutch Ramses/Scimitar. Anti-Guidance jamming equipment installed aboard numerous Chinese surface combatants.","Contributed by greengills","400","0","360","-30","80","1","GenericSensor","0","0","7","8000000000","16000000000","99","1","0","Jammer","40","0.6","0","1"
"Sorbtsiya-S ECM","","0","0","0","0","0","1900","2999","","","","","","ECM, 22 dBw, 5Ghz to 11Ghz, effects:Radars and Seekers            Russian self-defence tactical jammer for later variants of the Flanker family.","Contributed by greengills","150","0","360","-30","30","1","GenericSensor","0","0","0","5000000000","11000000000","99","1","0","Jammer","22","0.6","1","1"
"Gardeniya ECM","","0","0","0","0","0","1900","2999","","","","","","ECM, 48 dBw, 0.4Ghz to 100Ghz, effects:Radars and Seekers            Russian self-defence tactical jammer for early variants of the Flanker family.","Contributed by greengills","100","0","360","-30","30","1","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","48","0.6","1","1"
"ALQ-214 ECM","","0","0","0","0","0","1900","2999","","","","","","ECM, 42 dBw, 0.4Ghz to 100Ghz, effects:Radars and Seekers            US tactical aircraft self-defence jammer.","Contributed by greengills.  was setup at 42dB, goal is to prevent it from causing blindness, and to instead merely diminish power.","80","0","360","-30","30","1","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","42","0.6","1","1"
"Khibiny-M ECM","","0","0","0","0","0","1900","2999","","","","","","ECM, 36 dBw, 0.4Ghz to 100Ghz, effects:Radars and Seekers            Russian self-defence tactical jammer for latter variants of the Flanker family and the PAK-FA.","Contributed by greengills","400","0","360","-30","30","1","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","36","0.6","1","1"
"DASS-ECM","","0","0","0","0","0","1900","2999","","","","","","ECM, 20 dBw, 0.4Ghz to 100Ghz, effects:Seekers            Eurofighter ECM for Defensive Aids SubSystem","wild guess","30","0","360","-90","90","5","GenericSensor","0","0","90","400000000","100000000000.0","99","1","0","Jammer","20","0.7","0","1"
"NOLQ-3C ECM","","0","0","0","0","0","1900","2999","","","","","","ECM, 30 dBw, 3Ghz to 18Ghz, effects:Seekers            Japanese ECM system","[dewitt] no refs, just a guess","100","0","360","-30","80","3","GenericSensor","0","0","7","3000000000","18000000000","99","1","0","Jammer","30","0.6","0","1"
