DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,MaxSpeed_kts numeric,Accel_ktsps numeric,TurnRate_degps numeric,FuelCapacity_kg numeric,FuelRate_kgps numeric,Toughness numeric,DamageEffect text,FlightportClass text,RCS_dBsm numeric,RCS_Model nextutmeric,OpticalCrossSection_dBsm numeric,IRSignature_dB numeric,IR_ModelA text,IR_ModelB text,IR_ModelC text,EffectiveHeight_m numeric
"2K11 Krug-M","SA-4A Ganef","17","256","0","0","0","1964","2999","Russia","SAM","","","rapier-towed.xml","The 2K11 Krug (English: circle) is a Soviet and now Russian long range, medium-to-high altitude surface-to-air missile (SAM) system. '2K11' is its GRAU designation, while SA-4 Ganef is its NATO reporting name. The system was designed by NPO Novator and produced by Kalinin Machine Building Plant.","","0","5","10","0","0","","Generic3","","18.2815125","Default","16.78","20","Default","Default","Default","2"
"2K11 Krug-M1","SA-4B Ganef","17","256","0","0","0","1971","2999","Russia","SAM","","","rapier-towed.xml","The 2K11 Krug (English: circle) is a Soviet and now Russian long range, medium-to-high altitude surface-to-air missile (SAM) system. '2K11' is its GRAU designation, while SA-4 Ganef is its NATO reporting name. The system was designed by NPO Novator and produced by Kalinin Machine Building Plant.  Improved short range performance reducing the minimum range but costing maximum range.","","0","5","10","0","0","","Generic3","","18.2815125","Default","16.78","20","Default","Default","Default","2"
"2K11 Krug-M2","SA-4B Ganef","17","256","0","0","0","1973","2999","Russia","SAM","","","rapier-towed.xml","The 2K11 Krug (English: circle) is a Soviet and now Russian long range, medium-to-high altitude surface-to-air missile (SAM) system. '2K11' is its GRAU designation, while SA-4 Ganef is its NATO reporting name. The system was designed by NPO Novator and produced by Kalinin Machine Building Plant.  Unknown upgrade","","0","5","10","0","0","","Generic3","","18.2815125","Default","16.78","20","Default","Default","Default","2"
"2K11 Krug-M3","SA-4B Ganef","17","256","0","0","0","1974","2999","Russia","SAM","","","rapier-towed.xml","The 2K11 Krug (English: circle) is a Soviet and now Russian long range, medium-to-high altitude surface-to-air missile (SAM) system. '2K11' is its GRAU designation, while SA-4 Ganef is its NATO reporting name. The system was designed by NPO Novator and produced by Kalinin Machine Building Plant.  unknown upgrade","","0","5","10","0","0","","Generic3","","18.2815125","Default","16.78","20","Default","Default","Default","2"
"2K12 Kub","SA-6A Gainful","17","258","0","0","0","1967","2999","Russia","SAM","","","rapier-towed.xml","The 2K12 'Kub' (English: cube) mobile surface-to-air missile system is a Soviet low to medium-level air defence system designed to protect ground forces from air attack. 2K12 is the GRAU designation of the system. Kub is known in the west by its NATO reporting name 'Gainful' as well as the US Department of Defense designation SA-6","","23.8","5","10","212.5","0.09989","","Generic3","","7","Default","-3","20","Default","Default","Default","2"
"2K12-M1 Kub-M1","SA-6B Gainful","17","258","0","0","0","1973","2999","Russia","SAM","","","rapier-towed.xml","The 2K12 'Kub' (English: cube) mobile surface-to-air missile system is a Soviet low to medium-level air defence system designed to protect ground forces from air attack. 2K12 is the GRAU designation of the system. Kub is known in the west by its NATO reporting name 'Gainful' as well as the US Department of Defense designation SA-6.  Improved range, ECCM, reliability, and reaction time.","","23.8","5","10","212.5","0.09989","","Generic3","","7","Default","-3","20","Default","Default","Default","2"
"2K12-M3 Kub-M3","SA-6B Gainful","17","258","0","0","0","1976","2999","Russia","SAM","","","rapier-towed.xml","The 2K12 'Kub' (English: cube) mobile surface-to-air missile system is a Soviet low to medium-level air defence system designed to protect ground forces from air attack. 2K12 is the GRAU designation of the system. Kub is known in the west by its NATO reporting name 'Gainful' as well as the US Department of Defense designation SA-6.  Further improved range, eccm, reliability, and reaction time","","23.8","5","10","212.5","0.09989","","Generic3","","7","Default","-3","20","Default","Default","Default","2"
"2K12-M4 Kub-M4","SA-6B Gainful","17","258","0","0","0","1978","2999","Russia","SAM","","","rapier-towed.xml","The 2K12 'Kub' (English: cube) mobile surface-to-air missile system is a Soviet low to medium-level air defence system designed to protect ground forces from air attack. 2K12 is the GRAU designation of the system. Kub is known in the west by its NATO reporting name 'Gainful' as well as the US Department of Defense designation SA-6.  Improved fire control channels, and missile interoperability.","","23.8","5","10","212.5","0.09989","","Generic3","","7","Default","-3","20","Default","Default","Default","2"
"2K12E Kvadrat","SA-6A Gainful","17","258","0","0","0","1967","2999","Russia","SAM","","","rapier-towed.xml","The 2K12 'Kub' (English: cube) mobile surface-to-air missile system is a Soviet low to medium-level air defence system designed to protect ground forces from air attack. 2K12 is the GRAU designation of the system. Kub is known in the west by its NATO reporting name 'Gainful' as well as the US Department of Defense designation SA-6.  Export Version","","23.8","5","10","212.5","0.09989","","Generic3","","7","Default","-3","20","Default","Default","Default","2"
"75mm M51 Skysweeper","","17","256","0","14000","0","1953","1970","","AAA","","","rapier-towed.xml","The skysweeper was an anti-aircraft gun deployed in the early 1950s by both the U.S. Army and U.S. Air Force.","[Redtail]","0","0","0","0","0","","Generic1","","5","Default","-3","10","Default","Default","Default","2"
