DatabaseClass text,ChildClass text,ChildCapacity numeric,LoadTime_s numeric,CycleTime_s numeric
"0.30in GAU-17",".30 cal bullet","629","30","0.21"
"0.30in(7.7m) Browning M1(900)(x2)",".30 cal bullet Air(x2)","900","30","0.3"
"0.50in(12.7mm) Browning M2(270)",".50 cal bullet air","54","600","0.25"
"0.50in(12.7mm) Browning M2(270)(x2)",".50 cal bullet air(x2)","54","600","0.25"
"0.50in(12.7mm) Browning M2(300)",".50 cal bullet air","60","600","0.25"
"0.50in(12.7mm) Browning M2(300)(x2)",".50 cal bullet air(x2)","60","600","0.25"
"0.50in(12.7mm) Browning M2(400)",".50 cal bullet air(x2)","80","600","0.25"
"0.50in(12.7mm) Browning M2(400)(x2)",".50 cal bullet air(x2)","80","600","0.25"
"0.50in/72 (12.7 mm) M3M FN Herstal MG (GAU-21)",".50 cal bullet","600","30","0.3"
"10 Buoy Launcher","*buoy","10","300","10"
"10 DICASS Launcher","*DICASS*","10","300","10"
"10 DICASS Launcher","*buoy","10","300","10"
"10 DIFAR Launcher","*DIFAR*","10","300","10"
"10 DIFAR Launcher","*buoy","10","300","10"
"10 LOFAR Launcher","*LOFAR*","10","300","10"
"10 LOFAR Launcher","*buoy","10","300","10"
"100 mm/70 (3.9in) AK-100","100mm OF-58 FRAG","46","30","1.09091"
"100 mm/70 (3.9in) AK-100","100mm ZS-58 AA","46","30","1.09091"
"100 mm/70 (3.9in) AK-100","100mm ZS-58P AA","46","30","1.09091"
"100mm/45 (3.9in) 1930","100mm OEA Mle 1928","2","6","3.75"
"100mm/53 (3.9in) model 1953","100mm OEA F1 HE","35","30","1"
"100mm/53 (3.9in) model 1953","100mm OPF F4 PFHE","35","30","1"
"100mm/55 (3.9in) model 1964","100mm OEA F1 HE","35","30","0.769"
"100mm/55 (3.9in) model 1964","100mm OPF F4 PFHE","35","30","0.769"
"100mm/55 (3.9in) model 1968 CADAM","100mm OEA F1 HE","35","30","0.769"
"100mm/55 (3.9in) model 1968 CADAM","100mm OPF F4 PFHE","35","30","0.769"
"100mm/55 (3.9in) model 1968 II","100mm OEA F1 HE","35","30","0.75"
"100mm/55 (3.9in) model 1968 II","100mm OPF F4 PFHE","35","30","0.75"
"100mm/55 (3.9in) model 1968","100mm OEA F1 HE","35","30","0.8824"
"100mm/55 (3.9in) model 1968","100mm OPF F4 PFHE","35","30","0.8824"
"100mm/55 x2","100mm AA","92","60","0.4"
"100mm/55 x2","100mm FRAG","92","60","0.4"
"100mm/56 Type-79A Twin-mount","100mm OF-58 FRAG","26","30","2.4"
