DatabaseClass text,LauncherId numeric,Item text,Quantity numeric
"2K11 Krug-M-1-L","0","9M8M","2"
"2K11 Krug-M-1-L","1","9M8M","2"
"2K11 Krug-M-1-L","2","9M8M","2"
"2K11 Krug-M1-1-L","0","9M8M1","2"
"2K11 Krug-M1-1-L","1","9M8M1","2"
"2K11 Krug-M1-1-L","2","9M8M1","2"
"2K11 Krug-M2-1-L","0","9M8M2","2"
"2K11 Krug-M2-1-L","1","9M8M2","2"
"2K11 Krug-M2-1-L","2","9M8M2","2"
"2K11 Krug-M3-1-L","0","9M8M3","2"
"2K11 Krug-M3-1-L","1","9M8M3","2"
"2K11 Krug-M3-1-L","2","9M8M3","2"
"2K12 Kub-1-L","0","3M9M","4"
"2K12 Kub-1-L","1","3M9M","4"
"2K12 Kub-1-L","2","3M9M","4"
"2K12 Kub-1-L","3","3M9M","4"
"2K12-M1 Kub-M1-1-L","0","3M9M1","4"
"2K12-M1 Kub-M1-1-L","1","3M9M1","4"
"2K12-M1 Kub-M1-1-L","2","3M9M1","4"
"2K12-M1 Kub-M1-1-L","3","3M9M1","4"
"2K12-M3 Kub-M3-1-L","0","3M9M3","4"
"2K12-M3 Kub-M3-1-L","1","3M9M3","4"
"2K12-M3 Kub-M3-1-L","2","3M9M3","4"
"2K12-M3 Kub-M3-1-L","3","3M9M3","4"
"2K12-M4 Kub-M4-1-L","0","3M9M4","4"
"2K12-M4 Kub-M4-1-L","1","3M9M4","4"
"2K12-M4 Kub-M4-1-L","2","3M9M4","4"
"2K12-M4 Kub-M4-1-L","3","3M9M4","4"
"2K12E Kvadrat-1-L","0","3M9M","4"
"2K12E Kvadrat-1-L","1","3M9M","4"
"2K12E Kvadrat-1-L","2","3M9M","4"
"2K12E Kvadrat-1-L","3","3M9M","4"
"9K32 Strela 2 MANPAD-1-L","0","9K32 Strela 2","1"
"9K32 Strela 2 Truck-2-L","0","9K32 Strela 2","1"
"9K32 Strela 2 Truck-2-L","1","9K32 Strela 2","1"
"9K32 Strela 2 Truck-2-L","2","9K32 Strela 2","1"
"9K32 Strela 2 Truck-2-L","3","9K32 Strela 2","1"
"9K33 OSA-1-L","0","9M33","6"
"9K33 OSA-1-L","1","9M33","6"
"9K33 OSA-1-L","2","9M33","6"
"9K33 OSA-1-L","3","9M33","6"
"9K33M2 OSA-AK-1-L","0","9M33M2","6"
"9K33M2 OSA-AK-1-L","1","9M33M2","6"
"9K33M2 OSA-AK-1-L","2","9M33M2","6"
"9K33M2 OSA-AK-1-L","3","9M33M2","6"
"9K37 Buk-1-L","0","9M38","4"
"9K37 Buk-1-L","1","9M38","4"
"9K37 Buk-1-L","2","9M38","4"
"9K37 Buk-1-L","3","9M38","4"
"9K37 Buk-1-L","4","9M38","4"
"9K37 Buk-1-L","5","9M38","4"
"9K37M1 Buk-M1-1-L","0","9M39M1","4"
"9K37M1 Buk-M1-1-L","1","9M39M1","4"
"9K37M1 Buk-M1-1-L","2","9M39M1","4"
"9K37M1 Buk-M1-1-L","3","9M39M1","4"
"9K37M1 Buk-M1-1-L","4","9M39M1","4"
"9K37M1 Buk-M1-1-L","5","9M39M1","4"
"A-10A CS1 1977-L","0","30mm PGU-14/B API","82"
"A-10A CS1 1977-L","1","AIM-9M","2"
"A-10A CS1 1977-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS1 1977-L","3","Mk-82","6"
"A-10A CS1 1977-L","4","AGM-65B","2"
"A-10A CS1 1977-L","5","Hydra-70 rocket","38"
"A-10A CS1 1977-L","6","",""
"A-10A CS1 1977-L","7","Chaff-1","30"
"A-10A CS1 1977-L","8","Flare-1","30"
"A-10A CS1 1980-L","0","30mm PGU-14/B API","82"
"A-10A CS1 1980-L","1","AIM-9M","2"
"A-10A CS1 1980-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS1 1980-L","3","Mk-82","6"
"A-10A CS1 1980-L","4","AGM-65B","2"
"A-10A CS1 1980-L","5","Hydra-70 rocket","38"
"A-10A CS1 1980-L","6","",""
"A-10A CS1 1980-L","7","Chaff-1","30"
"A-10A CS1 1980-L","8","Flare-1","30"
"A-10A CS1 1984-L","0","30mm PGU-14/B API","82"
"A-10A CS1 1984-L","1","AIM-9M","2"
"A-10A CS1 1984-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS1 1984-L","3","Mk-82","6"
"A-10A CS1 1984-L","4","AGM-65B","2"
"A-10A CS1 1984-L","5","Hydra-70 rocket","38"
"A-10A CS1 1984-L","6","",""
"A-10A CS1 1984-L","7","Chaff-1","30"
"A-10A CS1 1984-L","8","Flare-1","30"
"A-10A CS1 1986-L","0","30mm PGU-14/B API","82"
"A-10A CS1 1986-L","1","AIM-9M","2"
"A-10A CS1 1986-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS1 1986-L","3","Mk-82","2"
"A-10A CS1 1986-L","4","AGM-65D","2"
"A-10A CS1 1986-L","5","Hydra-70 rocket","38"
"A-10A CS1 1986-L","6","",""
"A-10A CS1 1986-L","7","Chaff-1","30"
"A-10A CS1 1986-L","8","Flare-1","30"
"A-10A CS1 2004-L","0","30mm PGU-14/B API","82"
"A-10A CS1 2004-L","1","AIM-9X","2"
"A-10A CS1 2004-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS1 2004-L","3","Mk-82","2"
"A-10A CS1 2004-L","4","AGM-65D","2"
"A-10A CS1 2004-L","5","Hydra-70 rocket","38"
"A-10A CS1 2004-L","6","",""
"A-10A CS1 2004-L","7","Chaff-1","30"
"A-10A CS1 2004-L","8","Flare-1","30"
"A-10A CS1E 1977-L","0","30mm PGU-14/B API","82"
"A-10A CS1E 1977-L","1","AIM-9M","2"
"A-10A CS1E 1977-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS1E 1977-L","3","Mk-82","6"
"A-10A CS1E 1977-L","4","AGM-65B","2"
"A-10A CS1E 1977-L","5","Hydra-70 rocket","38"
"A-10A CS1E 1977-L","6","600 gallon tank","1"
"A-10A CS1E 1977-L","7","Chaff-1","30"
"A-10A CS1E 1977-L","8","Flare-1","30"
"A-10A CS1E 1980-L","0","30mm PGU-14/B API","82"
"A-10A CS1E 1980-L","1","AIM-9M","2"
"A-10A CS1E 1980-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS1E 1980-L","3","Mk-82","6"
"A-10A CS1E 1980-L","4","AGM-65B","2"
"A-10A CS1E 1980-L","5","Hydra-70 rocket","38"
"A-10A CS1E 1980-L","6","600 gallon tank","1"
"A-10A CS1E 1980-L","7","Chaff-1","30"
"A-10A CS1E 1980-L","8","Flare-1","30"
"A-10A CS1E 1984-L","0","30mm PGU-14/B API","82"
"A-10A CS1E 1984-L","1","AIM-9M","2"
"A-10A CS1E 1984-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS1E 1984-L","3","Mk-82","6"
"A-10A CS1E 1984-L","4","AGM-65B","2"
"A-10A CS1E 1984-L","5","Hydra-70 rocket","38"
"A-10A CS1E 1984-L","6","600 gallon tank","1"
"A-10A CS1E 1984-L","7","Chaff-1","30"
"A-10A CS1E 1984-L","8","Flare-1","30"
"A-10A CS1E 1986-L","0","30mm PGU-14/B API","82"
"A-10A CS1E 1986-L","1","AIM-9M","2"
"A-10A CS1E 1986-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS1E 1986-L","3","Mk-82","2"
"A-10A CS1E 1986-L","4","AGM-65D","2"
"A-10A CS1E 1986-L","5","Hydra-70 rocket","38"
"A-10A CS1E 1986-L","6","600 gallon tank","1"
"A-10A CS1E 1986-L","7","Chaff-1","30"
"A-10A CS1E 1986-L","8","Flare-1","30"
"A-10A CS1E 2004-L","0","30mm PGU-14/B API","82"
"A-10A CS1E 2004-L","1","AIM-9X","2"
"A-10A CS1E 2004-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS1E 2004-L","3","Mk-82","2"
"A-10A CS1E 2004-L","4","AGM-65D","2"
"A-10A CS1E 2004-L","5","Hydra-70 rocket","38"
"A-10A CS1E 2004-L","6","600 gallon tank","1"
"A-10A CS1E 2004-L","7","Chaff-1","30"
"A-10A CS1E 2004-L","8","Flare-1","30"
"A-10A CS2 1977-L","0","30mm PGU-14/B API","82"
"A-10A CS2 1977-L","1","AIM-9J","2"
"A-10A CS2 1977-L","2","Mk 71 Zuni WAFAR","8"
"A-10A CS2 1977-L","3","GBU-1/B","2"
"A-10A CS2 1977-L","4","AGM-65B","2"
"A-10A CS2 1977-L","5","Hydra-70 rocket","38"
"A-10A CS2 1977-L","6","",""
"A-10A CS2 1977-L","7","Chaff-1","30"
"A-10A CS2 1977-L","8","Flare-1","30"
"A-10A CS2 1980-L","0","30mm PGU-14/B API","82"
"A-10A CS2 1980-L","1","AIM-9L","2"
"A-10A CS2 1980-L","2","Mk 71 Zuni WAFAR","8"
