DatabaseClass text,MagazineId numeric,Item text,Quantity numeric
"2K11 Krug-M-1-M","0","9M8M","12"
"2K11 Krug-M1-1-M","0","9M8M1","12"
"2K12 Kub-1-M","0","3M9M","48"
"2K12-M1 Kub-M1-1-M","0","3M9M1","48"
"2K12-M3 Kub-M3-1-M","0","3M9M3","48"
"2K12-M4 Kub-M4-1-M","0","3M9M4","48"
"2K12E Kvadrat-1-M","0","3M9M","48"
"9K32 Strela 2 MANPAD-1-M","0","9K32 Strela 2","6"
"9K32 Strela 2 Truck-2-M","0","9K32 Strela 2","36"
"9K33 OSA-1-M","0","9M33","36"
"9K33M2 OSA-AK-1-M","0","9M33M2","36"
"9K37 Buk-1-M","0","9M38","48"
"9K37M1 Buk-M1-1-M","0","9M39M1","48"
"Abukuma 1989-M","0","76mm HE-MOM","240"
"Abukuma 1989-M","1","Mk-46 Mod5","12"
"Abukuma 1989-M","2","20mm mark 244-0 ELC","523"
"Abukuma 1993-M","0","76mm HE-MOM","240"
"Abukuma 1993-M","1","20mm mark 244-0 ELC","523"
"Abukuma 1993-M","2","Mk-46 Mod5","12"
"Aconit 1973-M","0","100mm OPF F4 PFHE","1200"
"Aconit 1973-M","1","L5 Mod4","20"
"Aconit 1973-M","2","Malafon","12"
"Aconit 1984-M","0","100mm OPF F4 PFHE","1200"
"Aconit 1984-M","1","L5 Mod4","20"
"Aconit 1984-M","2","40mm HE-T","1000"
"Agosta 90B(Pakistan) 1999-M","0","F-17 Mod2","12"
"Agosta 90B(Pakistan) 1999-M","0","SM-39 Exocet","4"
"Agosta(Pakistan) 1979-M","0","F-17","16"
"Agosta(Pakistan) 1987-M","0","F-17 Mod1","16"
"Agosta(Pakistan) 1993-M","0","F-17 Mod2","16"
"Agosta(Spain) 1983-M","0","F-17","16"
"Agosta(Spain) 1987-M","0","F-17 Mod1","16"
"Agosta(Spain) 1993-M","0","F-17 Mod2","16"
"Agosta-1-M","0","F-17","16"
"Agosta-2-M","0","F-17 Mod1","11"
"Agosta-2-M","0","SM-39 Exocet","5"
"Agosta-3-M","0","F-17 Mod2","11"
"Agosta-3-M","0","SM-39 Exocet","5"
"AirstripMag","0","Fuel","1000000"
"AirstripMag","1","AIM-120C","100"
"AirstripMag","1","AIM-9M","100"
"AirstripMag","1","Chaff-1","10000"
