"DatabaseClass text primary key","NATO_ASCC text","ModelClassId numeric","ClassificationId numeric","Cost numeric","Weight_kg numeric","Volume_m3 numeric","InitialYear numeric","FinalYear numeric","Country text","Designation text","ImageList text","IconFileName text","ModelFileName text","Description text","Notes text","Damage numeric","DamageModel text","LaunchSpeed_mps numeric","targetFlags numeric","MinLaunchAlt_m numeric","MaxLaunchAlt_m numeric","MinRange_km numeric","MaxRange_km numeric","ProbNoFaults numeric","PayloadClass text","PayloadQuantity numeric","DatalinkRange_km real","AcceptsUserCommands numeric","DetonationRange_m numeric","RCS_dBsm numeric","RCS_Model text","OpticalCrossSection_dBsm numeric","IRSignature_dB numeric","IR_ModelA text","IR_ModelB text","IR_ModelC text","EffectiveHeight_m numeric","DragArea_sm numeric","Gmax numeric","MaxTurnRate_degps numeric","Cdpsub numeric","Cdptran numeric","Cdpsup numeric","Mcm numeric","Msupm numeric","BoostThrust_N numeric","BoostTime_s numeric","SustThrust_N numeric","SustTime_s numeric","ShutdownSpeed_mps numeric","SensorClass text","NeedsFireControl numeric","AcceptsWaypoints numeric","Rng1_km numeric","Alt1_m numeric","AltMode1 numeric","GuidMode1 numeric","Rng2_km numeric","Alt2_m numeric","AltMode2 numeric","GuidMode2 numeric","Rng3_km numeric","Alt3_m numeric","AltMode3 numeric","GuidMode3 numeric","Rng4_km numeric","Alt4_m numeric","AltMode4 numeric","GuidMode4 numeric","Rng5_km numeric","Alt5_m numeric","AltMode5 numeric","GuidMode5 numeric","Rng6_km numeric","Alt6_m numeric","AltMode6 numeric","GuidMode6 numeric","Rng7_km numeric","Alt7_m numeric","AltMode7 numeric","GuidMode7 numeric","Rng8_km numeric","Alt8_m numeric","AltMode8 numeric","GuidMode8 numeric","DamageEffect text"
"3M10 Granat","SS-N-21 Sampson","5","64","0","2300","3","1900","2999","","","","mis/ico3M10.jpg","mm-38.xml","SS-N-21 Kh-55SM Granat Sampson 461kts at 280m 2960km Range ETA 3 hours, 28 minutes, 28 Seconds.","","450","Blast400kg","0","4","-30","34567","2","2960","0.85","","","0","0","11.9","-4.8","MissileRCS1","3.65","0","IR_M_L_LP_M0.85","Default","IR_M_L_LP_Super_M1.2","0","19.57","10","36.4","0.12","0.15","0.2","0.8","1.2","110000","3.1","8050","12460","150","","0","0","5","280","0","1","0.01","0","3","1","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg2"
"3M10 Granat(n)","SS-N-21 Sampson","5","64","0","2300","3","1900","2999","","","","mis/ico3M10n.jpg","mm-38.xml","SS-N-21 Kh-55SM Granat Sampson 461kts at 280m 2960km Range ETA 3 hours, 28 minutes, 28 Seconds.","","450","Nuclear-200kT","0","4","-30","34567","2","2960","0.85","","","0","0","238","-4.8","MissileRCS1","3.65","0","IR_M_L_LP_M0.85","Default","IR_M_L_LP_Super_M1.2","0","19.57","10","36.4","0.12","0.15","0.2","0.8","1.2","110000","3.1","8050","12460","150","","0","0","5","280","0","1","0.01","0","3","1","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg2"
"3M24E Uran-E","","5","64","","600","","1900","2999","","","","mis/ico3M24E.jpg","mm-38.xml","","Marcos","217.5","Pen145kg","0","1","0","34567","5","130","0.85","","","0","0","0","-6.5","MissileRCS1","-2","0","IR_M_M_LP_M0.85","Default","IR_M_M_LP_Super_M1.1","0","1","8","10","0.44","1","3","0.9","1","100000","3","50000","435","100","ARGS-35E","0","0","130","15","0","1","65","15","0","1","33","15","0","1","17","5","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TestMissileDmg2"
"3M45 Granit","SS-N-19 Shipwreck","5","64","0","5000","3","1900","2999","","","","mis/ico3M45.jpg","mm-38.xml","SS-N-19 P-700 3M-45 Granit ShipWreck","","1125","Pen750kg","0","1","-30","34567","2","550","0.85","","","0","0","0","-1.3","MissileRCS1","7.78","0","IR_M_VL_LP_M0.85","Default","IR_M_VL_LP_Super_M2.2","0","26.7","10","54.6","0.15","0.36","1.95","1.1","2","95000","826","0","0","200","SS-N-22 seeker","0","0","180","20000","0","1","20","15","0","1","0.01","2","2","2","","","","","","","","","","","","","","","","","","","","","TestMissileDmg2"
"3M54 Klub Alfa","SS-N-27 Sizzler","5","64","0","1920","3","1900","2999","","","","mis/ico3M54.jpg","mm-38.xml","SS-N-27 3M54 Klub Alfa 465kts at 100m Cruise 1869kts at 20m Terminal Sprint(final 30km)(currently enabled as deployed submunition) ETA 14 minutes at 220km Range.","","450","Pen200kg","0","1","-40","34567","2","220","0.85","3M54 Warhead Section","1","0","0","0","-4.4","MissileRCS1","4.81","0","IR_M_L_LP_M0.85","Default","IR_M_L_LP_Super_M1.1","0","22.4","20","109.3","0.3","0.375","0.25","0.8","1.2","220000","2","21000","833","200","ARGS-14E Seeker","0","0","33","15","0","1","30.0001","15","0","2","30","15","0","3","","","","","","","","","","","","","","","","","","","","","TestMissileDmg2"
"3M54 Warhead Section","","5","64","0","600","1","1900","2999","","","","mis/ico3M54.jpg","aim-9.xml","Supersonic Warhead section of 3M54E Klub Alfa","","12","Pen200kg","0","1","0","34567","2","10","1","","","0","0","0","-4.4","MissileRCS1","-2.19","0","IR_M_M_LP_M0.85","Default","IR_M_M_LP_Super_M2.1","0","1","20","109.3","0.3","0.375","0.25","0.8","1.2","150000","44.2","0","0","200","ARGS-14E Seeker","1","0","0.1","0","2","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg2"
"3M54E Klub Alfa","SS-N-27 Sizzler","5","64","0","1696","3","1900","2999","","","","mis/ico3M54E.jpg","mm-38.xml","3M54E Klub Alfa 465kts at 20m Cruise. Does not possess the supersonic terminal stage.  190km maximum range.","","450","Pen200kg","0","1","-40","34567","2","220","0.85","","","0","0","0","-4.4","MissileRCS1","4.81","0","IR_M_L_LP_M0.85","Default","IR_M_L_LP_Super_M1.1","0","22.4","20","109.3","0.3","0.375","0.25","0.8","1.2","220000","2","21000","833","200","ARGS-14E Seeker","0","0","31","15","0","1","30","15","2","2","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg2"
"3M80 Moskit","SS-N-22 Sunburn","5","64","0","3970","3","1900","2999","","","","mis/ico3M80.jpg","mm-38.xml","SS-N-22 Kh-41 3M80 Moskit 978kts at 10m. Range 100km ETA 3 minutes, 56 Seconds.","","450","Pen300kg","0","1","-30","34567","2","100","0.85","","","0","0","0","-1.9","MissileRCS1","6.77","0","IR_M_VL_LP_M0.85","Default","IR_M_VL_LP_Super_M1.5","0","22.4","15","65.6","0.1464","0.183","0.122","0.8","1.2","280000","4","38000","201","300","SS-N-22 seeker","0","0","30","10","1","1","4","10","1","2","3","300","1","2","2","-200","1","2","1.5","200","1","2","1","-200","1","2","0.5","50","1","2","0.01","0","2","2","TestMissileDmg2"
"3M80M Moskit-M","SS-N-22 Sunburn","5","64","0","3970","3","1900","2999","","","","mis/ico3M80M.jpg","mm-38.xml","SS-N-22 Kh-41 3M80 Moskit 1001kts at 10m. Range 120km ETA 4 minutes, 37 Seconds.","","450","Pen300kg","0","1","-30","34567","2","120","0.85","","","0","0","0","-1.9","MissileRCS1","6.77","0","IR_M_VL_LP_M0.85","Default","IR_M_VL_LP_Super_M1.5","0","22.4","15","65.6","0.1464","0.183","0.122","0.8","1.2","280000","4","38000","241","300","SS-N-22 seeker","0","0","30","10","1","1","4","10","1","2","3","300","1","2","2","-200","1","2","1.5","200","1","2","1","-150","1","2","0.5","50","1","2","0.01","0","2","2","TestMissileDmg2"
"3M9M","","5","64","0","630","1","1967","2999","","","","mis/ico3M9M.jpg","aim-9.xml","Temporary weapon standin  550kt target engaged at 22km","","12","BlastFragAir55kg","0","10","0","34567","2","13.2","0.85","","","0","0","13.06328698","-5.5","MissileRCS1","-2.19","0","IR_M_M_R_M0.85","Default","IR_M_M_R_Super_M1.9","0","1","25","45.53","0.02232","0.0279","0.0186","0.8","1.2","84366","4.1","15107","14.3","500","3M9M SARH seeker","1","0","0.1","0","2","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","TestMissileDmg"
