DatabaseClass text,LauncherClass numeric,LauncherId numeric,Description text,LocalName text,FiringArc_deg numeric,Az numeric,El numeric,FireControlSensor text,FireControlSensor2 text,IsReloadable numeric
"100mm KS-19","100mm KS-19 AA Gun","0","","","360","0","0","","","0"
"2K11 Krug-M","2K11 Krug-M Launcher","0","","","360","0","45","1S32","","1"
"2K11 Krug-M","2K11 Krug-M Launcher","1","","","360","0","45","1S32","","1"
"2K11 Krug-M","2K11 Krug-M Launcher","2","","","360","0","45","1S32","","1"
"2K11 Krug-M1","2K11 Krug-M1 Launcher","0","","","360","0","45","1S32","","1"
"2K11 Krug-M1","2K11 Krug-M1 Launcher","1","","","360","0","45","1S32","","1"
"2K11 Krug-M1","2K11 Krug-M1 Launcher","2","","","360","0","45","1S32","","1"
"2K11 Krug-M2","2K11 Krug-M2 Launcher","0","","","360","0","45","1S32","","1"
"2K11 Krug-M2","2K11 Krug-M2 Launcher","1","","","360","0","45","1S32","","1"
"2K11 Krug-M2","2K11 Krug-M2 Launcher","2","","","360","0","45","1S32","","1"
"2K11 Krug-M3","2K11 Krug-M3 Launcher","0","","","360","0","45","1S32","","1"
"2K11 Krug-M3","2K11 Krug-M3 Launcher","1","","","360","0","45","1S32","","1"
"2K11 Krug-M3","2K11 Krug-M3 Launcher","2","","","360","0","45","1S32","","1"
"2K12 Kub","2K12 Kub Launcher","0","","","360","0","45","1S91","","1"
"2K12 Kub","2K12 Kub Launcher","1","","","360","0","45","1S91","","1"
"2K12 Kub","2K12 Kub Launcher","2","","","360","0","45","1S91","","1"
"2K12 Kub","2K12 Kub Launcher","3","","","360","0","45","1S91","","1"
"2K12E Kvadrat","2K12E Kvadrat Launcher","0","","","360","0","45","1S91","","1"
"2K12E Kvadrat","2K12E Kvadrat Launcher","1","","","360","0","45","1S91","","1"
"2K12E Kvadrat","2K12E Kvadrat Launcher","2","","","360","0","45","1S91","","1"
"2K12E Kvadrat","2K12E Kvadrat Launcher","3","","","360","0","45","1S91","","1"
"2K12-M1 Kub-M1","2K12-M1 Kub-M1 Launcher","0","","","360","0","45","9S36","","1"
"2K12-M1 Kub-M1","2K12-M1 Kub-M1 Launcher","1","","","360","0","45","9S36","","1"
"2K12-M1 Kub-M1","2K12-M1 Kub-M1 Launcher","2","","","360","0","45","9S36","","1"
"2K12-M1 Kub-M1","2K12-M1 Kub-M1 Launcher","3","","","360","0","45","9S36","","1"
"2K12-M3 Kub-M3","2K12-M3 Kub-M3 Launcher","0","","","360","0","45","9S36","","1"
"2K12-M3 Kub-M3","2K12-M3 Kub-M3 Launcher","1","","","360","0","45","9S36","","1"
"2K12-M3 Kub-M3","2K12-M3 Kub-M3 Launcher","2","","","360","0","45","9S36","","1"
"2K12-M3 Kub-M3","2K12-M3 Kub-M3 Launcher","3","","","360","0","45","9S36","","1"
"2K12-M4 Kub-M4","2K12-M4 Kub-M4 Launcher","0","","","360","0","45","9S36","","1"
"2K12-M4 Kub-M4","2K12-M4 Kub-M4 Launcher","1","","","360","0","45","9S36","","1"
"2K12-M4 Kub-M4","2K12-M4 Kub-M4 Launcher","2","","","360","0","45","9S36","","1"
"2K12-M4 Kub-M4","2K12-M4 Kub-M4 Launcher","3","","","360","0","45","9S36","","1"
"75mm M51 Skysweeper","75mm Skysweeper Gun","0","","","360","0","0","","","0"
"9K32 Strela 2 MANPAD","9K32 Strela 2 Launcher","0","","","360","0","0","","","1"
"9K32 Strela 2 Truck","9K32 Strela 2 Launcher","0","","","360","0","0","","","1"
"9K32 Strela 2 Truck","9K32 Strela 2 Launcher","1","","","360","0","0","","","1"
"9K32 Strela 2 Truck","9K32 Strela 2 Launcher","2","","","360","0","0","","","1"
"9K32 Strela 2 Truck","9K32 Strela 2 Launcher","3","","","360","0","0","","","1"
"9K33 OSA","9K33 OSA Launcher","0","","","360","30","0","Land Roll","","1"
"9K33 OSA","9K33 OSA Launcher","1","","","360","30","0","Land Roll","","1"
"9K33 OSA","9K33 OSA Launcher","2","","","360","30","0","Land Roll","","1"
"9K33 OSA","9K33 OSA Launcher","3","","","360","30","0","Land Roll","","1"
"9K33M2 OSA-AK","9K33M2 OSA-AK Launcher","0","","","360","0","30","Land Roll","","1"
"9K33M2 OSA-AK","9K33M2 OSA-AK Launcher","1","","","360","0","30","Land Roll","","1"
"9K33M2 OSA-AK","9K33M2 OSA-AK Launcher","2","","","360","0","30","Land Roll","","1"
"9K33M2 OSA-AK","9K33M2 OSA-AK Launcher","3","","","360","0","30","Land Roll","","1"
"9K33M3 OSA-AKM","9K33M3 OSA-AKM Launcher","0","","","360","0","30","Land Roll","","1"
"9K33M3 OSA-AKM","9K33M3 OSA-AKM Launcher","1","","","360","0","30","Land Roll","","1"
"9K33M3 OSA-AKM","9K33M3 OSA-AKM Launcher","2","","","360","0","30","Land Roll","","1"
"9K33M3 OSA-AKM","9K33M3 OSA-AKM Launcher","3","","","360","0","30","Land Roll","","1"
"9K37 Buk","9K37 Buk Launcher","0","","","360","","57","9S36","","1"
"9K37 Buk","9K37 Buk Launcher","1","","","360","","57","9S36","","1"
"9K37 Buk","9K37 Buk Launcher","2","","","360","","57","9S36","","1"
"9K37 Buk","9K37 Buk Launcher","3","","","360","","57","9S36","","1"
"9K37 Buk","9K37 Buk Launcher","4","","","360","","57","9S36","","1"
"9K37 Buk","9K37 Buk Launcher","5","","","360","","57","9S36","","1"
"9K37 Gang","9K37 Gang Launcher","0","","","360","","57","9S36","","1"
"9K37 Gang","9K37 Gang Launcher","1","","","360","","57","9S36","","1"
"9K37 Gang","9K37 Gang Launcher","2","","","360","","57","9S36","","1"
"9K37 Gang","9K37 Gang Launcher","3","","","360","","57","9S36","","1"
"9K37-1 Buk-1","9K37-1 Buk-1 Launcher","0","","","360","","57","9S36","","1"
"9K37-1 Buk-1","9K37-1 Buk-1 Launcher","1","","","360","","57","9S36","","1"
"9K37-1 Buk-1","9K37-1 Buk-1 Launcher","2","","","360","","57","9S36","","1"
"9K37-1 Buk-1","9K37-1 Buk-1 Launcher","3","","","360","","57","9S36","","1"
"9K37-1 Buk-1","9K37-1 Buk-1 Launcher","4","","","360","","57","9S36","","1"
"9K37-1 Buk-1","9K37-1 Buk-1 Launcher","5","","","360","","57","9S36","","1"
"9K37M1 Buk-M1","9K37M1 Buk-M1 Launcher","0","","","360","","57","9S36","","1"
"9K37M1 Buk-M1","9K37M1 Buk-M1 Launcher","1","","","360","","57","9S36","","1"
"9K37M1 Buk-M1","9K37M1 Buk-M1 Launcher","2","","","360","","57","9S36","","1"
"9K37M1 Buk-M1","9K37M1 Buk-M1 Launcher","3","","","360","","57","9S36","","1"
"9K37M1 Buk-M1","9K37M1 Buk-M1 Launcher","4","","","360","","57","9S36","","1"
"9K37M1 Buk-M1","9K37M1 Buk-M1 Launcher","5","","","360","","57","9S36","","1"
"A-10A","30mm GAU-8 Avenger","0","","","20","0","0","","","0"
"A-10A","A-10 1-11","1","","","0","0","0","LANTIRN","","0"
"A-10A","A-10 2-10","2","","","0","0","0","LANTIRN","","0"
"A-10A","A-10 3-9","3","","","0","0","0","LANTIRN","","0"
"A-10A","A-10 4-8","4","","","0","0","0","LANTIRN","","0"
"A-10A","A-10 5-7","5","","","0","0","0","LANTIRN","","0"
"A-10A","A-10 6","6","","","0","0","0","LANTIRN","","0"
"A-10A","CM Ejector","7","","","0","0","0","","","0"
"A-10A","CM Ejector","8","","","0","0","0","","","0"
"A-10A(78)","30mm GAU-8 Avenger","0","","","20","0","0","","","0"
"A-10A(78)","A-10A 1-11","1","","","0","0","0","LANTIRN","","0"
"A-10A(78)","A-10A 2-10","2","","","0","0","0","LANTIRN","","0"
"A-10A(78)","A-10A 3-9","3","","","0","0","0","LANTIRN","","0"
"A-10A(78)","A-10A 4-8","4","","","0","0","0","LANTIRN","","0"
"A-10A(78)","A-10A 5-7","5","","","0","0","0","LANTIRN","","0"
"A-10A(78)","A-10A 6","6","","","0","0","0","LANTIRN","","0"
"A-10A(78)","CM Ejector","7","","","0","0","0","","","0"
"A-10A(78)","CM Ejector","8","","","0","0","0","","","0"
"A-10C","30mm GAU-8 Avenger","0","","","20","0","0","","","0"
"A-10C","A-10C 1-11","1","","","0","0","0","Litening LDP","","0"
"A-10C","A-10C 2-10","2","","","0","0","0","Litening LDP","","0"
"A-10C","A-10C 3-9","3","","","0","0","0","Litening LDP","","0"
"A-10C","A-10C 4-8","4","","","0","0","0","Litening LDP","","0"
"A-10C","A-10C 5-7","5","","","0","0","0","Litening LDP","","0"
"A-10C","A-10C 6","6","","","0","0","0","Litening LDP","","0"
"A-10C","CM Ejector","7","","","0","0","0","","","0"
"A-10C","CM Ejector","8","","","0","0","0","","","0"
"A-1D","Spad Fuselage","0","","","0","0","0","","",""
"A-1D","Spad Wing Root x2","1","","","0","0","0","","",""
"A-1D","Spad Wing x2","2","","","0","0","0","","",""
"A-1D","Spad Wing x2","3","","","0","0","0","","",""
"A-1D","Spad Wing x2","4","","","0","0","0","","",""
"A-1D","Spad Wing x2","5","","","0","0","0","","",""
"A-1D","Spad Wing x2","6","","","0","0","0","","",""
"A-1D","Spad Wing x2","7","","","0","0","0","","",""
"A-1D","20mm Colt Mk-12 Cannon (200) x2","8","20mm Cannons","","10","0","0","","",""
"A-1D","20mm Colt Mk-12 Cannon (200) x2","9","20mm Cannons","","10","0","0","","",""
"A-1E","Spad Fuselage","0","","","0","0","0","","",""
"A-1E","Spad Wing Root x2","1","","","0","0","0","","",""
"A-1E","Spad Wing x2","2","","","0","0","0","","",""
"A-1E","Spad Wing x2","3","","","0","0","0","","",""
"A-1E","Spad Wing x2","4","","","0","0","0","","",""
"A-1E","Spad Wing x2","5","","","0","0","0","","",""
"A-1E","Spad Wing x2","6","","","0","0","0","","",""
"A-1E","Spad Wing x2","7","","","0","0","0","","",""
"A-1E","20mm Colt Mk-12 Cannon (200) x2","8","20mm Cannons","","10","0","0","","",""
"A-1E","20mm Colt Mk-12 Cannon (200) x2","9","20mm Cannons","","10","0","0","","",""
"A-1G","Spad Fuselage","0","","","0","0","0","","",""
"A-1G","Spad Wing Root x2","1","","","0","0","0","","",""
"A-1G","Spad Wing x2","2","","","0","0","0","","",""
"A-1G","Spad Wing x2","3","","","0","0","0","","",""
"A-1G","Spad Wing x2","4","","","0","0","0","","",""
"A-1G","Spad Wing x2","5","","","0","0","0","","",""
"A-1G","Spad Wing x2","6","","","0","0","0","","",""
"A-1G","Spad Wing x2","7","","","0","0","0","","",""
"A-1G","20mm Colt Mk-12 Cannon (200) x2","8","20mm Cannons","","10","0","0","","",""
"A-1G","20mm Colt Mk-12 Cannon (200) x2","9","20mm Cannons","","10","0","0","","",""
"A-1H","Spad Fuselage","0","","","0","0","0","","",""
"A-1H","Spad Wing Root x2","1","","","0","0","0","","",""
"A-1H","Spad Wing x2","2","","","0","0","0","","",""
"A-1H","Spad Wing x2","3","","","0","0","0","","",""
"A-1H","Spad Wing x2","4","","","0","0","0","","",""
"A-1H","Spad Wing x2","5","","","0","0","0","","",""
"A-1H","Spad Wing x2","6","","","0","0","0","","",""
"A-1H","Spad Wing x2","7","","","0","0","0","","",""
"A-1H","20mm Colt Mk-12 Cannon (200) x2","8","20mm Cannons","","10","0","0","","",""
"A-1H","20mm Colt Mk-12 Cannon (200) x2","9","20mm Cannons","","10","0","0","","",""
"A-1J","Spad Fuselage","0","","","0","0","0","","",""
"A-1J","Spad Wing Root x2","1","","","0","0","0","","",""
"A-1J","Spad Wing x2","2","","","0","0","0","","",""
"A-1J","Spad Wing x2","3","","","0","0","0","","",""
"A-1J","Spad Wing x2","4","","","0","0","0","","",""
"A-1J","Spad Wing x2","5","","","0","0","0","","",""
"A-1J","Spad Wing x2","6","","","0","0","0","","",""
"A-1J","Spad Wing x2","7","","","0","0","0","","",""
"A-1J","20mm Colt Mk-12 Cannon (200) x2","8","20mm Cannons","","10","0","0","","",""
"A-1J","20mm Colt Mk-12 Cannon (200) x2","9","20mm Cannons","","10","0","0","","",""
"A-20A","0.30in(7.7m) Browning M1(900)(x2)","0","Browning 30cal","","0","0","0","","","0"
"A-20A","0.30in(7.7m) Browning M1(900)(x2)","1","Browning 30cal","","20","0","0","","","0"
"A-20A","A-20A Bay","2","Bomb Bay","","0","0","0","","","0"
"A-29B","ST 05-04","0","","","0","0","0","","","0"
"A-29B","ST 03-02","1","","","0","0","0","","","0"
"A-29B","2 DICASS Launcher","2","","","0","0","0","","","0"
"A-29B","2 LOFAR Launcher","3","","","0","0","0","","","0"
"A-29B","2 DIFAR Launcher","4","","","0","0","0","","","0"
"A-3A","A3D Bay","0","","","0","0","0","","","0"
"A-3A","20mm M3 Hispano Twin Turret(1000)","1","","","60","180","0","","","0"
"A-3B","A3D2 Bay","0","","","0","0","0","","","0"
"A-3B","20mm M3 Hispano Twin Turret(1000)","1","","","60","180","0","","","0"
"A3D-1","A3D Bay","0","","","0","0","0","","","0"
"A3D-1","20mm M3 Hispano Twin Turret(1000)","1","","","60","180","0","","","0"
"A3D-2","A3D2 Bay","0","","","0","0","0","","","0"
"A3D-2","20mm M3 Hispano Twin Turret(1000)","1","","","60","180","0","","","0"
"A-4A","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4A","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4A","A-4A 2-4","2","","","0","0","0","","",""
"A-4A","A-4A 3","3","","","0","0","0","","",""
"A-4AR","20mm Colt Mk-12 Cannon (400)","0","20mm Cannon","","10","0","0","","",""
"A-4AR","20mm Colt Mk-12 Cannon (400)","1","20mm Cannon","","10","0","0","","",""
"A-4AR","A-4M 1-5","2","","","0","0","0","","",""
"A-4AR","A-4M 2-4","3","","","0","0","0","","",""
"A-4AR","A-4H 3","4","","","0","0","0","","",""
"A-4AR","CM Ejector","5","","","0","0","0","","",""
"A-4AR","CM Ejector","6","","","0","0","0","","",""
"A-4B","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4B","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4B","A-4B 2-4","2","","","0","0","0","","",""
"A-4B","A-4B 3","3","","","0","0","0","","",""
"A-4C","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4C","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4C","A-4C 2-4","2","","","0","0","0","","",""
"A-4C","A-4C 3","3","","","0","0","0","","",""
"A4D-1","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A4D-1","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A4D-1","A-4A 2-4","2","","","0","0","0","","",""
"A4D-1","A-4A 3","3","","","0","0","0","","",""
"A4D-2","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A4D-2","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A4D-2","A-4B 2-4","2","","","0","0","0","","",""
"A4D-2","A-4B 3","3","","","0","0","0","","",""
"A4D-2N","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A4D-2N","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A4D-2N","A-4C 2-4","2","","","0","0","0","","",""
"A4D-2N","A-4C 3","3","","","0","0","0","","",""
"A-4E","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4E","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4E","A-4E 1-5","2","","","0","0","0","","",""
"A-4E","A-4E 2-4","3","","","0","0","0","","",""
"A-4E","A-4E 3","4","","","0","0","0","","",""
"A-4E(Indonesia)","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4E(Indonesia)","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4E(Indonesia)","A-4E 1-5","2","","","0","0","0","","",""
"A-4E(Indonesia)","A-4E 2-4","3","","","0","0","0","","",""
"A-4E(Indonesia)","A-4H 3","4","","","0","0","0","","",""
"A-4F","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4F","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4F","A-4E 1-5","2","","","0","0","0","","",""
"A-4F","A-4E 2-4","3","","","0","0","0","","",""
"A-4F","A-4E 3","4","","","0","0","0","","",""
"A-4F","CM Ejector","5","","","0","0","0","","",""
"A-4F","CM Ejector","6","","","0","0","0","","",""
"A-4G(AU)","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4G(AU)","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4G(AU)","A-4E 1-5","2","","","0","0","0","","",""
"A-4G(AU)","A-4E 2-4","3","","","0","0","0","","",""
"A-4G(AU)","A-4H 3","4","","","0","0","0","","",""
"A-4G(AU)","CM Ejector","5","","","0","0","0","","",""
"A-4G(AU)","CM Ejector","6","","","0","0","0","","",""
"A-4G(NZ)","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4G(NZ)","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4G(NZ)","A-4E 1-5","2","","","0","0","0","","",""
"A-4G(NZ)","A-4E 2-4","3","","","0","0","0","","",""
"A-4G(NZ)","A-4H 3","4","","","0","0","0","","",""
"A-4G(NZ)","CM Ejector","5","","","0","0","0","","",""
"A-4G(NZ)","CM Ejector","6","","","0","0","0","","",""
"A-4H","DEFA 30mm (300)","0","30mm Cannon","","10","0","0","","",""
"A-4H","DEFA 30mm (300)","1","30mm Cannon","","10","0","0","","",""
"A-4H","A-4E 1-5","2","","","0","0","0","","",""
"A-4H","A-4E 2-4","3","","","0","0","0","","",""
"A-4H","A-4H 3","4","","","0","0","0","","",""
"A-4H","CM Ejector","5","","","0","0","0","","",""
"A-4H","CM Ejector","6","","","0","0","0","","",""
"A-4K","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4K","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4K","A-4E 1-5","2","","","0","0","0","","",""
"A-4K","A-4E 2-4","3","","","0","0","0","","",""
"A-4K","A-4H 3","4","","","0","0","0","","",""
"A-4K","CM Ejector","5","","","0","0","0","","",""
"A-4K","CM Ejector","6","","","0","0","0","","",""
"A-4Ku","20mm Colt Mk-12 Cannon (400)","0","20mm Cannon","","10","0","0","","",""
"A-4Ku","20mm Colt Mk-12 Cannon (400)","1","20mm Cannon","","10","0","0","","",""
"A-4Ku","A-4Ku 1-5","2","","","0","0","0","","",""
"A-4Ku","A-4Ku 2-4","3","","","0","0","0","","",""
"A-4Ku","A-4Ku 3","4","","","0","0","0","","",""
"A-4M","20mm Colt Mk-12 Cannon (400)","0","20mm Cannon","","10","0","0","","",""
"A-4M","20mm Colt Mk-12 Cannon (400)","1","20mm Cannon","","10","0","0","","",""
"A-4M","A-4M 1-5","2","","","0","0","0","","",""
"A-4M","A-4M 2-4","3","","","0","0","0","","",""
"A-4M","A-4M 3","4","","","0","0","0","","",""
"A-4M","CM Ejector","5","","","0","0","0","","",""
"A-4M","CM Ejector","6","","","0","0","0","","",""
"A-4N","DEFA 30mm (300)","0","30mm Cannon","","10","0","0","","",""
"A-4N","DEFA 30mm (300)","1","30mm Cannon","","10","0","0","","",""
"A-4N","A-4M 1-5","2","","","0","0","0","","",""
"A-4N","A-4M 2-4","3","","","0","0","0","","",""
"A-4N","A-4H 3","4","","","0","0","0","","",""
"A-4N","CM Ejector","5","","","0","0","0","","",""
"A-4N","CM Ejector","6","","","0","0","0","","",""
"A-4P","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4P","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4P","A-4B 2-4","2","","","0","0","0","","",""
"A-4P","A-4P 3","3","","","0","0","0","","",""
"A-4PTM","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4PTM","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4PTM","A-4C 2-4","2","","","0","0","0","","",""
"A-4PTM","A-4Q 3","3","","","0","0","0","","",""
"A-4Q","20mm Colt Mk-12 Cannon (200)","0","20mm Cannon","","10","0","0","","",""
"A-4Q","20mm Colt Mk-12 Cannon (200)","1","20mm Cannon","","10","0","0","","",""
"A-4Q","A-4C 2-4","2","","","0","0","0","","",""
"A-4Q","A-4Q 3","3","","","0","0","0","","",""
"A-4S","DEFA 30mm (300)","0","30mm Cannon","","10","0","0","","",""
"A-4S","DEFA 30mm (300)","1","30mm Cannon","","10","0","0","","",""
"A-4S","A-4B 2-4","2","","","0","0","0","","",""
"A-4S","A-4P 3","3","","","0","0","0","","",""
"A-4Su","DEFA 30mm (300)","0","30mm Cannon","","10","0","0","","",""
"A-4Su","DEFA 30mm (300)","1","30mm Cannon","","10","0","0","","",""
"A-4Su","A-4M 1-5","2","","","0","0","0","","",""
"A-4Su","A-4Su 2-4","3","","","0","0","0","","",""
"A-4Su","A-4Su 3","4","","","0","0","0","","",""
