DatabaseClass text,Name text,HullNumber text,DateInService numeric,DateOutService numeric
"Adelaide FFG","HMAS Adelaide","FFG-01","1980.8713","2008.047"
"Adelaide FFG","HMAS Canberra","FFG-02","1981.217","2005.86"
"Adelaide FFG","HMAS Darwin","FFG-04","1984.551","2999.9973"
"Adelaide FFG","HMAS Melbourne","FFG-05","1992.1211","2999.9973"
"Adelaide FFG","HMAS Newcastle","FFG-06","1993.9425","2999.9973"
"Adelaide FFG","HMAS Sydney","FFG-03","1983.0773","2913.4962"
"AGI Class San Andres","San Andres","","1900.1","2999.9973"
"AGP Class Cartagena","Buenaventura","BL-162","1998.2334","2999.9973"
"AGP Class Cartagena","Cartagena de Indias","BL-161","1997.8357","2999.9973"
"Pr 503M","Askold Pyn ko","","1993.833","2999.9"
"Pr 503M","MPK-180","","1974.0144","1993.4935"
"Pr 503M","MPK-91","","1975.0308","1995.9589"
"Pr 503M","Pagella","","1994.5811","2999.9"
"Pr 503M","Skat","","1993.666","2999.9"
"ANZAC FFH","HMAS Anzac","FFH-150","1996.29","2005.0007"
"ANZAC FFH","HMAS Arunta","FFH-151","1998.95","2005.0007"
"ANZAC FFH","HMAS Ballarat","FFH-155","2004.48","2005.0007"
"ANZAC FFH","HMAS Parramatta","FFH-154","2003.76","2005.0007"
"ANZAC FFH","HMAS Perth","FFH-157","2006.48","2010.76"
"ANZAC FFH","HMAS Stuart","FFH-153","2002.62","2005.0007"
"ANZAC FFH","HMAS Toowoomba","FFH-156","2005.77","2006.0007"
"ANZAC FFH","HMAS Warramunga","FFH-152","2001.24","2005.0007"
"ANZAC FFH","HMZS Te Kaha","F77","1997.48","2999.9973"
"ANZAC FFH","HMZS Te Mana","F111","1999.94","2999.9973"
"ANZAC-II FFG","HMAS ANZAC","FFH-150","2005.0007","2999.9"
"ANZAC-II FFG","HMAS Arunta","FFH-151","2006.0007","2999.9"
"ANZAC-II FFG","HMAS Ballarat","FFH-155","2005.0007","2999.9"
"ANZAC-II FFG","HMAS Parramatta","FFH-154","2006.0007","2999.9"
"ANZAC-II FFG","HMAS Perth","FFH-157","2006.0007","2999.9"
"ANZAC-II FFG","HMAS Stuart","FFH-153","2005.0007","2999.9"
"ANZAC-II FFG","HMAS Toowoomba","FFH-156","2007.0007","2999.9"
"ANZAC-II FFG","HMAS Warramunga","FFH-152","2005.0007","2999.9"
"Arleigh Burke DDGHM","USS Arleigh Burke","DDG-51","1991.42","2999.9973"
"Arleigh Burke DDGHM","USS Barry","DDG-52","1992.43","2999.9973"
"Arleigh Burke DDGHM","USS Benfold","DDG-65","1996.24","2999.9973"
"Arleigh Burke DDGHM","USS Carney","DDG-64","1996.28","2999.9973"
"Arleigh Burke DDGHM","USS Cole","DDG-67","1996.43","2999.9973"
"Arleigh Burke DDGHM","USS Curtis Wilbur","DDG-54","1994.21","2999.9973"
"Arleigh Burke DDGHM","USS Fitzgerald","DDG-62","1995.78","2999.9973"
"Arleigh Burke DDGHM","USS Gonzales","DDG-66","1996.78","2999.9973"
"Arleigh Burke DDGHM","USS Hopper","DDG-70","1997.7","2999.9973"
"Arleigh Burke DDGHM","USS John Paul Jones","DDG-53","1993.96","2999.9973"
"Arleigh Burke DDGHM","USS John S McCain","DDG-56","1994.5","2999.9973"
"Arleigh Burke DDGHM","USS Laboon","DDG-58","1995.21","2999.9973"
"Arleigh Burke DDGHM","USS Milius","DDG-69","1996.89","2999.9973"
"Arleigh Burke DDGHM","USS Mitscher","DDG-57","1994.94","2999.9973"
"Arleigh Burke DDGHM","USS Paul Hamilton","DDG-60","1995.32","2999.9973"
"Arleigh Burke DDGHM","USS Ramage","DDG-61","1995.55","2999.9973"
"Arleigh Burke DDGHM","USS Ross","DDG-71","1997.49","2999.9973"
"Arleigh Burke DDGHM","USS Russel","DDG-59","1995.3","2999.9973"
"Arleigh Burke DDGHM","USS Stethem","DDG-63","1995.8","2999.9973"
"Arleigh Burke DDGHM","USS Stout","DDG-55","1994.61","2999.9973"
"Arleigh Burke DDGHM","USS The Sullivans","DDG-68","1997.3","2999.9973"
"Arleigh Burke II DDGHM","USS Decatur","DDG-73","1998.66","2999.9973"
"Arleigh Burke II DDGHM","USS Donald Cook","DDG-75","1998.92","2999.9973"
"Arleigh Burke II DDGHM","USS Higgins","DDG-76","1999.31","2999.9973"
"Arleigh Burke II DDGHM","USS Mahan","DDG-72","1998.09","2999.9973"
"Arleigh Burke II DDGHM","USS McFall","DDG-74","1998.31","2999.9973"
"Arleigh Burke II DDGHM","USS O Kane","DDG-77","1999.81","2999.9973"
"Arleigh Burke II DDGHM","USS Porter","DDG-78","1999.21","2999.9973"
"Austin LPD","USS Austin","LPD-4","1965.1","2006.9"
"Austin LPD","USS Cleveland","LPD-7","1967.3","2999.99"
"Austin LPD","USS Coronado","LPD-11","1970.39","1980.74"
"Austin LPD","USS Denver","LPD-9","1968.82","2999.99"
"Austin LPD","USS Dubuque","LPD-8","1967.67","2999.99"
"Austin LPD","USS Duluth","LPD-6","1965.96","2005.78"
"Austin LPD","USS Juneau","LPD-10","1969.53","2008.83"
"Austin LPD","USS Nashville","LPD-13","1970.12","2009.75"
"Austin LPD","USS Ogden","LPD-5","1964.46","2007.14"
"Austin LPD","USS Ponce","LPD-15","1971.83","2999.99"
"Austin LPD","USS Shreveport","LPD-12","1970.95","2007.73"
"Austin LPD","USS Trenton","LPD-14","1971.18","2007.04"
"Avenger MCM","USS Ardent","MCM-12","1994.13","2999.99"
