DatabaseClass numeric,SensorClass numeric,SensorAz numeric
"2K11 Krug-M","1S32","0"
"2K11 Krug-M","Eyeball 20/20e","0"
"2K11 Krug-M","Eyeball 20/20f","0"
"2K11 Krug-M","Eyeball 20/20g","0"
"2K11 Krug-M","Eyeball 20/20h","0"
"2K11 Krug-M","P-40","0"
"2K11 Krug-M1","1S32","0"
"2K11 Krug-M1","Eyeball 20/20e","0"
"2K11 Krug-M1","Eyeball 20/20f","0"
"2K11 Krug-M1","Eyeball 20/20g","0"
"2K11 Krug-M1","Eyeball 20/20h","0"
"2K11 Krug-M1","P-40","0"
"2K11 Krug-M2","1S32","0"
"2K11 Krug-M2","Eyeball 20/20e","0"
"2K11 Krug-M2","Eyeball 20/20f","0"
"2K11 Krug-M2","Eyeball 20/20g","0"
"2K11 Krug-M2","Eyeball 20/20h","0"
"2K11 Krug-M2","P-40","0"
"2K11 Krug-M3","1S32","0"
"2K11 Krug-M3","Eyeball 20/20e","0"
"2K11 Krug-M3","Eyeball 20/20f","0"
"2K11 Krug-M3","Eyeball 20/20g","0"
"2K11 Krug-M3","Eyeball 20/20h","0"
"2K11 Krug-M3","P-40","0"
"2K12 Kub","1S91","0"
"2K12 Kub","Eyeball 20/20e","0"
"2K12 Kub","Eyeball 20/20f","0"
"2K12 Kub","Eyeball 20/20g","0"
"2K12 Kub","Eyeball 20/20h","0"
"2K12 Kub","P-15","0"
"2K12-M1 Kub-M1","9S36","0"
"2K12-M1 Kub-M1","Eyeball 20/20e","0"
"2K12-M1 Kub-M1","Eyeball 20/20f","0"
"2K12-M1 Kub-M1","Eyeball 20/20g","0"
"2K12-M1 Kub-M1","Eyeball 20/20h","0"
"2K12-M1 Kub-M1","P-15","0"
"2K12-M3 Kub-M3","9S36","0"
"2K12-M3 Kub-M3","Eyeball 20/20e","0"
"2K12-M3 Kub-M3","Eyeball 20/20f","0"
"2K12-M3 Kub-M3","Eyeball 20/20g","0"
"2K12-M3 Kub-M3","Eyeball 20/20h","0"
"2K12-M3 Kub-M3","P-15","0"
"2K12-M4 Kub-M4","9S36","0"
"2K12-M4 Kub-M4","Eyeball 20/20e","0"
"2K12-M4 Kub-M4","Eyeball 20/20f","0"
"2K12-M4 Kub-M4","Eyeball 20/20g","0"
"2K12-M4 Kub-M4","Eyeball 20/20h","0"
"2K12-M4 Kub-M4","P-15","0"
"2K12E Kvadrat","1S91","0"
"2K12E Kvadrat","Eyeball 20/20e","0"
"2K12E Kvadrat","Eyeball 20/20f","0"
"2K12E Kvadrat","Eyeball 20/20g","0"
"2K12E Kvadrat","Eyeball 20/20h","0"
"2K12E Kvadrat","P-15","0"
"9K32 Strela 2 MANPAD","Eyeball 20/20","0"
"9K32 Strela 2 MANPAD","Eyeball 20/20b","0"
"9K32 Strela 2 MANPAD","Eyeball 20/20c","0"
"9K32 Strela 2 MANPAD","Eyeball 20/20d","0"
"9K32 Strela 2 Truck","Eyeball 20/20e","0"
"9K32 Strela 2 Truck","Eyeball 20/20f","0"
"9K32 Strela 2 Truck","Eyeball 20/20g","0"
"9K32 Strela 2 Truck","Eyeball 20/20h","0"
"9K33 OSA","Eyeball 20/20e","0"
"9K33 OSA","Eyeball 20/20f","0"
"9K33 OSA","Eyeball 20/20g","0"
"9K33 OSA","Eyeball 20/20h","0"
"9K33 OSA","Land Roll","0"
"9K33M2 OSA-AK","Eyeball 20/20e","0"
"9K33M2 OSA-AK","Eyeball 20/20f","0"
"9K33M2 OSA-AK","Eyeball 20/20g","0"
"9K33M2 OSA-AK","Eyeball 20/20h","0"
"9K33M2 OSA-AK","Land Roll","0"
"9K33M3 OSA-AKM","Eyeball 20/20e","0"
"9K33M3 OSA-AKM","Eyeball 20/20f","0"
"9K33M3 OSA-AKM","Eyeball 20/20g","0"
"9K33M3 OSA-AKM","Eyeball 20/20h","0"
"9K33M3 OSA-AKM","Land Roll","0"
"9K37 Buk","9S18","0"
"9K37 Buk","9S36","0"
"9K37 Buk","Eyeball 20/20e","0"
"9K37 Buk","Eyeball 20/20f","0"
"9K37 Buk","Eyeball 20/20g","0"
"9K37 Buk","Eyeball 20/20h","0"
"9K37 Gang","9S18","0"
