DatabaseClass text,SetupName text,InitialYear numeric,FinalYear numeric,AirComplement text,MagazineLoadout text,LauncherLoadout text
"2K11 Krug-M","2K11 Krug-M-1","1964.0","2999.0","2K11 Krug-M-1-A","2K11 Krug-M-1-M","2K11 Krug-M-1-L"
"2K11 Krug-M1","2K11 Krug-M1-1","1971.0","2999.0","2K11 Krug-M1-1-A","2K11 Krug-M1-1-M","2K11 Krug-M1-1-L"
"2K11 Krug-M2","2K11 Krug-M2-1","1973.0","2999.0","2K11 Krug-M2-1-A","2K11 Krug-M2-1-M","2K11 Krug-M2-1-L"
"2K11 Krug-M3","2K11 Krug-M3-1","1974.0","2999.0","2K11 Krug-M3-1-A","2K11 Krug-M3-1-M","2K11 Krug-M3-1-L"
"2K12 Kub","2K12 Kub-1","1967.0","2999.0","2K12 Kub-1-A","2K12 Kub-1-M","2K12 Kub-1-L"
"2K12-M1 Kub-M1","2K12-M1 Kub-M1-1","1973.0","2999.0","2K12-M1 Kub-M1-1-A","2K12-M1 Kub-M1-1-M","2K12-M1 Kub-M1-1-L"
"2K12-M3 Kub-M3","2K12-M3 Kub-M3-1","1976.0","2999.0","2K12-M3 Kub-M3-1-A","2K12-M3 Kub-M3-1-M","2K12-M3 Kub-M3-1-L"
"2K12-M4 Kub-M4","2K12-M4 Kub-M4-1","1978.0","2999.0","2K12-M4 Kub-M4-1-A","2K12-M4 Kub-M4-1-M","2K12-M4 Kub-M4-1-L"
"2K12E Kvadrat","2K12E Kvadrat-1","1963.0","2999.0","2K12E Kvadrat-1-A","2K12E Kvadrat-1-M","2K12E Kvadrat-1-L"
"9K32 Strela 2 MANPAD","9K32 Strela 2 MANPAD-1","1968.0","2999.0","9K32 Strela 2 MANPAD-1-A","9K32 Strela 2 MANPAD-1-M","9K32 Strela 2 MANPAD-1-L"
"9K32 Strela 2 Truck","9K32 Strela 2 Truck-2","1968.0","2999.0","9K32 Strela 2 Truck-2-A","9K32 Strela 2 Truck-2-M","9K32 Strela 2 Truck-2-L"
"9K33 OSA","9K33 OSA-1","1971.0","2999.0","9K33 OSA-1-A","9K33 OSA-1-M","9K33 OSA-1-L"
"9K33M2 OSA-AK","9K33M2 OSA-AK-1","1975.0","2999.0","9K33M2 OSA-AK-1-A","9K33M2 OSA-AK-1-M","9K33M2 OSA-AK-1-L"
"9K33M3 OSA-AKM","OSA-AKM 9M33M2","1980.0","2999.0","OSA-AKM 9M33M2-A","OSA-AKM 9M33M2-M","OSA-AKM 9M33M2-L"
"9K33M3 OSA-AKM","OSA-AKM 9M33M3","1980.0","2999.0","OSA-AKM 9M33M3-A","OSA-AKM 9M33M3-M","OSA-AKM 9M33M3-L"
"9K37 Buk","9K37 Buk-1","1978.0","2999.0","9K37 Buk-1-A","9K37 Buk-1-M","9K37 Buk-1-L"
"9K37 Gang","Gang 9M38M1","1983.0","2999.0","Gang 9M38M1-A","Gang 9M38M1-M","Gang 9M38M1-L"
"9K37 Gang","Gang 9M38M2","1998.0","2999.0","Gang 9M38M2-A","Gang 9M38M2-M","Gang 9M38M2-L"
"9K37-1 Buk-1","Buk 9M38","1983.0","2999.0","Buk 9M38-A","Buk 9M38-M","Buk 9M38-L"
"9K37-1 Buk-1","Buk 9M38M1","1983.0","2999.0","Buk 9M38M1-A","Buk 9M38M1-M","Buk 9M38M1-L"
"9K37M1 Buk-M1","9K37M1 Buk-M1-1","1998.0","2999.0","9K37M1 Buk-M1-1-A","9K37M1 Buk-M1-1-M","9K37M1 Buk-M1-1-L"
"A-10A","CS1   1977","1977.25","1979","","","A-10A CS1 1977-L"
"A-10A","CS1E   1977","1977.25","1979","","","A-10A CS1E 1977-L"
"A-10A","GM1   1977","1977.25","1979","","","A-10A GM1 1977-L"
"A-10A","GM1E   1977","1977.25","1979","","","A-10A GM1E 1977-L"
"A-10A","IB1   1977","1977.25","1979","","","A-10A IB1 1977-L"
"A-10A","IB1E   1977","1977.25","1979","","","A-10A IB1E 1977-L"
"A-10A","IB2   1977","1977.25","1979","","","A-10A IB2 1977-L"
"A-10A","IB2E   1977","1977.25","1979","","","A-10A IB2E 1977-L"
"A-10A","IB3   1977","1977.25","1979","","","A-10A IB3 1977-L"
"A-10A","IB3E   1977","1977.25","1979","","","A-10A IB3E 1977-L"
"A-10A","IB4   1977","1977.25","1979","","","A-10A IB4 1977-L"
"A-10A","IB4E   1977","1977.25","1979","","","A-10A IB4E 1977-L"
"A-10A","IB5   1977","1977.25","1979","","","A-10A IB5 1977-L"
"A-10A","IB5E   1977","1977.25","1979","","","A-10A IB5E 1977-L"
"A-10A","UR1   1977","1977.25","1979","","","A-10A UR1 1977-L"
"A-10A","UR1E   1977","1977.25","1979","","","A-10A UR1E 1977-L"
"A-10A","UR2   1977","1977.25","1979","","","A-10A UR2 1977-L"
"A-10A","UR2E   1977","1977.25","1979","","","A-10A UR2E 1977-L"
"A-10A(78)","CS1   1977","1978","1981","","","A-10A CS1 1977-L"
"A-10A(78)","CS1   1980","1980","1986","","","A-10A CS1 1980-L"
"A-10A(78)","CS1   1984","1984","2011","","","A-10A CS1 1984-L"
"A-10A(78)","CS1   1986","1986","2011","","","A-10A CS1 1986-L"
"A-10A(78)","CS1   2004","2004","2012","","","A-10A CS1 2004-L"
"A-10A(78)","CS1E   1977","1978","1981","","","A-10A CS1E 1977-L"
"A-10A(78)","CS1E   1980","1980","1986","","","A-10A CS1E 1980-L"
"A-10A(78)","CS1E   1984","1984","2011","","","A-10A CS1E 1984-L"
"A-10A(78)","CS1E   1986","1986","2011","","","A-10A CS1E 1986-L"
"A-10A(78)","CS1E   2004","2004","2012","","","A-10A CS1E 2004-L"
"A-10A(78)","CS2   1977","1978","1981","","","A-10A CS2 1977-L"
"A-10A(78)","CS2   1980","1980","1986","","","A-10A CS2 1980-L"
"A-10A(78)","CS2   1984","1984","2011","","","A-10A CS2 1984-L"
"A-10A(78)","CS2   1986","1986","2011","","","A-10A CS2 1986-L"
"A-10A(78)","CS2   2004","2004","2012","","","A-10A CS2 2004-L"
"A-10A(78)","CS2E   1977","1978","1981","","","A-10A CS2E 1977-L"
"A-10A(78)","CS2E   1980","1980","1986","","","A-10A CS2E 1980-L"
"A-10A(78)","CS2E   1984","1984","2011","","","A-10A CS2E 1984-L"
"A-10A(78)","CS2E   1986","1986","2011","","","A-10A CS2E 1986-L"
"A-10A(78)","CS2E   2004","2004","2012","","","A-10A CS2E 2004-L"
"A-10A(78)","CS3   1984","1984","2011","","","A-10A CS3 1984-L"
"A-10A(78)","CS3   1986","1986","2011","","","A-10A CS3 1986-L"
"A-10A(78)","CS3   2004","2004","2012","","","A-10A CS3 2004-L"
"A-10A(78)","CS3E   1984","1984","2011","","","A-10A CS3E 1984-L"
"A-10A(78)","CS3E   1986","1986","2011","","","A-10A CS3E 1986-L"
"A-10A(78)","CS3E   2004","2004","2012","","","A-10A CS3E 2004-L"
"A-10A(78)","GB4   1983","1983","1986","","","A-10A GB4 1983-L"
"A-10A(78)","GB4   1984","1984","2011","","","A-10A GB4 1984-L"
"A-10A(78)","GB4   2004","2004","2012","","","A-10A GB4 2004-L"
"A-10A(78)","GB4E   1983","1983","1986","","","A-10A GB4E 1983-L"
"A-10A(78)","GB4E   1984","1984","2011","","","A-10A GB4E 1984-L"
"A-10A(78)","GB4E   2004","2004","2012","","","A-10A GB4E 2004-L"
"A-10A(78)","GB5   1983","1983","1986","","","A-10A GB5 1983-L"
"A-10A(78)","GB5   1984","1984","2011","","","A-10A GB5 1984-L"
"A-10A(78)","GB5   2004","2004","2012","","","A-10A GB5 2004-L"
"A-10A(78)","GB5E   1983","1983","1986","","","A-10A GB5E 1983-L"
"A-10A(78)","GB5E   1984","1984","2011","","","A-10A GB5E 1984-L"
"A-10A(78)","GB5E   2004","2004","2012","","","A-10A GB5E 2004-L"
"A-10A(78)","GB6   1977","1978","1981","","","A-10A GB6 1977-L"
"A-10A(78)","GB6   1980","1980","1986","","","A-10A GB6 1980-L"
"A-10A(78)","GB6   1984","1984","2011","","","A-10A GB6 1984-L"
"A-10A(78)","GB6   2004","2004","2012","","","A-10A GB6 2004-L"
"A-10A(78)","GB6E   1977","1978","1981","","","A-10A GB6E 1977-L"
"A-10A(78)","GB6E   1980","1980","1986","","","A-10A GB6E 1980-L"
"A-10A(78)","GB6E   1984","1984","2011","","","A-10A GB6E 1984-L"
"A-10A(78)","GB6E   2004","2004","2012","","","A-10A GB6E 2004-L"
"A-10A(78)","GB7   1977","1978","1981","","","A-10A GB7 1977-L"
"A-10A(78)","GB7   1980","1980","1986","","","A-10A GB7 1980-L"
"A-10A(78)","GB7   1984","1984","2011","","","A-10A GB7 1984-L"
"A-10A(78)","GB7   2004","2004","2012","","","A-10A GB7 2004-L"
"A-10A(78)","GB7E   1977","1978","1981","","","A-10A GB7E 1977-L"
"A-10A(78)","GB7E   1980","1980","1986","","","A-10A GB7E 1980-L"
"A-10A(78)","GB7E   1984","1984","2011","","","A-10A GB7E 1984-L"
"A-10A(78)","GB7E   2004","2004","2012","","","A-10A GB7E 2004-L"
"A-10A(78)","GB8   1977","1978","1981","","","A-10A GB8 1977-L"
"A-10A(78)","GB8   1980","1980","1986","","","A-10A GB8 1980-L"
"A-10A(78)","GB8   1984","1984","2011","","","A-10A GB8 1984-L"
"A-10A(78)","GB8   2004","2004","2012","","","A-10A GB8 2004-L"
"A-10A(78)","GB8E   1977","1978","2999","","","A-10A GB8E 1977-L"
"A-10A(78)","GB9   1977","1978","1981","","","A-10A GB9 1977-L"
"A-10A(78)","GB9   1980","1980","1986","","","A-10A GB9 1980-L"
"A-10A(78)","GB9   1984","1984","2011","","","A-10A GB9 1984-L"
"A-10A(78)","GB9   2004","2004","2012","","","A-10A GB9 2004-L"
"A-10A(78)","GB9E   1977","1978","1981","","","A-10A GB9E 1977-L"
"A-10A(78)","GB9E   1980","1980","1986","","","A-10A GB9E 1980-L"
"A-10A(78)","GB9E   1984","1984","2011","","","A-10A GB9E 1984-L"
"A-10A(78)","GB9E   2004","2004","2012","","","A-10A GB9E 2004-L"
"A-10A(78)","GM1   1977","1978","1981","","","A-10A GM1 1977-L"
"A-10A(78)","GM1   1980","1980","1986","","","A-10A GM1 1980-L"
"A-10A(78)","GM1   1984","1984","2011","","","A-10A GM1 1984-L"
"A-10A(78)","GM1   1986","1986","2011","","","A-10A GM1 1986-L"
"A-10A(78)","GM1   2004","2004","2012","","","A-10A GM1 2004-L"
"A-10A(78)","GM1E   1977","1978","1981","","","A-10A GM1E 1977-L"
"A-10A(78)","GM1E   1980","1980","1986","","","A-10A GM1E 1980-L"
"A-10A(78)","GM1E   1984","1984","1986","","","A-10A GM1E 1984-L"
"A-10A(78)","GM1E   1986","1986","2011","","","A-10A GM1E 1986-L"
"A-10A(78)","GM1E   2004","2004","2012","","","A-10A GM1E 2004-L"
"A-10A(78)","IB1   1977","1978","1981","","","A-10A IB1 1977-L"
"A-10A(78)","IB1   1980","1980","1986","","","A-10A IB1 1980-L"
"A-10A(78)","IB1   1984","1984","2011","","","A-10A IB1 1984-L"
