DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName nexttumeric,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError numeric,AngleError_deg numeric,ElevationError_deg numeric,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor numeric,IsSurveillance numeric,ERPpeak_dBW numeric,ERPaverage_dBW numeric,MaxFireControlTracks numeric,IsSemiactive numeric,BlindSpeed_mps numeric,LookdownWater_dB numeric,LookdownLand_dB numeric,Bandwidth_Hz numeric,AzimuthBeamwidth_deg numeric,ElevationBeamwidth_deg numeric,EffectiveSidelobes_dB numeric,DetectsSurface numeric,DetectsAir numeric,DetectsMissile numeric,DetectsGround numeric
"34K1 Monolit","Band Stand","0","0","1","0","0","1900","2999","","","","","","Surveilance, Detects: S, Range: 200km, Ref:19km, ERP_dBw: 79 / 69","'Mineral', Monolit' and 'Titanit' are all apparently closely related systems.They may consist of technically different components which are more modular and integrated with different ordnance, but overall capability is apparently similar in game terms.","200","18.989","360","-35","70","8.63","GenericSensor","0","0.36","0.24","3000000000","3500000000","99","1","1","79","69","15","0","2.5","-3","-12","3000000","5","5","-30","1","0","0","0"
"Airpass 3","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: S, Range: 25km, Ref:2.6km, ERP_dBw: 80 / 70","","25","2.571","90","-45","45","2","GenericSensor","0.06","0.26","0.32","3000000000","3500000000","99","1","1","80","70","1","0","2.5","-3","-12","3000000","5","2.5","-30","1","0","0","0"
"AM-39 Seeker","","0","0","1","0","0","1900","2999","","","","","","Illuminator, Detects: S, Range: 75km, Ref:5.9km, ERP_dBw: 50 / 40","","75","5.935","60","-45","45","2.5","GenericSensor","0.25","4.8","3.2","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"APD-7","","0","0","1","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 120km, Ref:25km, ERP_dBw: 40 / 30          SLAR(Side Looking Airborne Radar) system for the RA-5C Vigilante.","since absolutely nothing seems to be known about this radar, im gonna improvise somewhat, all of the values found here are off the top of my head.","120","25","50","-50","-10","16","GenericSensor","0","0.39","0.26","3000000000","3500000000","99","1","1","40","30","0","0","10","-3","-12","3000000","5","5","-30","1","0","0","1"
"APG-66 GM","","0","0","","","","1900","2999","","","","","","Surveilance, Detects: GS, Range: 140km, Ref:4.3km, ERP_dBw: 45 / 35","Marcos","140","4.286","120","-60","60","6","GenericSensor","0","0","90","9500000000","10500000000","99","2","1","45","35","0","0","0","0","0","3000000","5","3.5","-30","1","0","0","1"
"APQ-102","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 176km, Ref:17.6km, ERP_dBw: 53 / 43","","176","17.643","20","-30","0","10","GenericSensor","0.02","0.13","0.16","3000000000","3500000000","99","1","1","52.57","42.57","1","0","2.5","-3","-12","3000000","5","2.5","-30","1","0","0","1"
"APQ-104","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: AGS, Range: 80km, Ref:19km, ERP_dBw: 50 / 25          Airborne radar used on French F-8E(FN) Crusader","assumed better than APQ-94","80","19","90","-30","30","10","GenericSensor","0.02","0.2","0.3","9500000000","10000000000","99","1","1","50","25","1","0","5","-3","-12","1000000","5","2.5","-25","1","1","1","1"
"APQ-156","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 278km, Ref:12.5km, ERP_dBw: 46 / 36","","277.8","12.475","153.5","-56.17","36.83","7.76","GenericSensor","0.03","0.07","2.19","3000000000","3500000000","99","1","1","46.3","36.3","4","0","2.5","-3","-12","3000000","5","35","-30","1","0","0","1"
"APS-116","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 278km, Ref:37km, ERP_dBw: 60 / 40","","277.8","37.04","240","-75","5","10","GenericSensor","0","0.12","0.25","9000000000","10000000000","99","1","1","60","40","6","0","2.5","-3","-12","300000000","5","4","-30","1","0","0","1"
"APS-124","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 296km, Ref:29.6km, ERP_dBw: 42 / 32","","296","29.63","360","-90","0","10","GenericSensor","0","0.06","1.25","3000000000","3500000000","99","1","1","41.72","31.72","6","0","2.5","-3","-12","3000000","5","20","-30","1","0","0","1"
"APS-128D","","0","0","","","","1900","2999","","","","","","Surveilance, Detects: S, Range: 324km, Ref:12.9km, ERP_dBw: 50 / 40","Marcos","324","12.857","360","-60","60","2","GenericSensor","0","0","90","3000000000","3500000000","99","1","1","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"APS-137","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 278km, Ref:19.3km, ERP_dBw: 43 / 33","","277.8","19.285","240","-75","5","10","GenericSensor","0","0.12","0.25","3000000000","3500000000","99","1","1","42.91","32.91","6","0","2.5","-3","-12","3000000","5","4","-30","1","0","0","1"
"APS-147","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 296km, Ref:21.3km, ERP_dBw: 42 / 32","","296","21.269","360","-90","0","10","GenericSensor","0","0.04","0.9","3000000000","3500000000","99","1","1","41.72","31.72","6","0","2.5","-3","-12","3000000","5","20","-30","1","0","0","1"
"APS-504(V)5","","0","0","","","","1900","2999","","","","","","Surveilance, Detects: GS, Range: 450km, Ref:19.3km, ERP_dBw: 65 / 55","Marcos","450","19.285","360","-45","45","2","GenericSensor","0","0","90","3000000000","3500000000","99","1","1","65","55","0","0","0","0","0","3000000","5","5","-30","1","0","0","1"
"APS-705","","0","0","","","","1900","2999","","","","","","Surveilance, Detects: S, Range: 148km, Ref:8.3km, ERP_dBw: 83 / 53","Marcos  -Amram-I lack enough info to do a full rebalance of the radar, but I do know some things.  50kW transmitter, 1.5µs at 650pps, 20 or 40 rpm scan rates, 2°x7° beam, x band.  These man a peak power of 50kW, but an average power of just 49w, the beamwidth yields an estimated gain of 35.74, and my radar sheet estimates it at 19.3km ref range, a value close to Sea Spray which is an alternative fit, so im leaving it in place.","148","8.271","300","-45","45","3","GenericSensor","0.00175","0.35","0.1","3000000000","3500000000","99","1","1","82.7","52.6","0","0","0","0","-3","3000000","2","7","-30","1","0","0","0"
"APS-706","","0","0","","","","1900","2999","","","","","","Surveilance, Detects: S, Range: 148km, Ref:9.8km, ERP_dBw: 86 / 56","an APS-705, with two antennae, and two 50kW transceivers, for use with Marte II and AB 212.ASW helicopters","148","9.814","300","-45","45","3","GenericSensor","0.00175","0.35","0.1","3000000000","3500000000","99","1","1","85.7","55.6","1","0","0","0","-3","3000000","2","7","-30","1","0","0","0"
"APY-10","","0","0","1","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 370km, Ref:23km, ERP_dBw: 70 / 60","","370","23.013","360","-80","10","5","GenericSensor","0","0","0","3000000000","3500000000","99","1","1","70","60","2","0","0","0","0","3000000","5","5","-30","1","0","0","1"
"ARGS-14E Seeker","","0","0","1","0","0","1900","2999","","","","","","Illuminator, Detects: S, Range: 40km, Ref:1.5km, ERP_dBw: 60 / 50","maximum detection range of over 20km, sectoer width of ±45°, vertical scanning of +10°, -20°.   Assuming 30dB destroyer at 20km even.  it first attempts to lock up a target at 40km.  As 30dB at 20km results in 3.557 km ref range, this also results in a 42dB target requirement for detectin at 40km, this IS achievable, leaving it as is.","40","1.524","90","-20","20","1","GenericSensor","0.01","0.37","0.25","3000000000","3500000000","99","1","0","60","50","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"ARGS-35E","","0","0","","","","1900","2999","","","","","","Illuminator, Detects: S, Range: 20km, Ref:6.4km, ERP_dBw: 18 / 8","Marcos","20","6.428","90","-10","10","1","GenericSensor","0","0","90","3000000000","3500000000","99","2","0","18","8","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"ARPA M-25","","0","0","","","","1900","2999","","","","","","Surveilance, Detects: S, Range: 172km, Ref:5.1km, ERP_dBw: 44 / 34","Marcos","172","5.143","360","-45","45","2.4","GenericSensor","0","0","90","3000000000","3500000000","99","3","1","44","34","0","0","0","0","0","3000000","5","3","-30","1","0","0","0"
"ARPA-S","","0","0","","","","1900","2999","","","","","","Surveilance, Detects: S, Range: 108km, Ref:8.6km, ERP_dBw: 46 / 36","Marcos","108","8.571","360","-45","20","3","GenericSensor","0","0","90","2000000000","3000000000","99","1","1","46","36","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"ARPA-X","","0","0","","","","1900","2999","","","","","","Surveilance, Detects: S, Range: 108km, Ref:5.1km, ERP_dBw: 45 / 35","Marcos","108","5.143","360","-45","20","2","GenericSensor","0","0","90","9000000000","9500000000","99","1","1","45","35","0","0","0","0","0","3000000","5","10","-30","1","0","0","0"
"ASM Seeker","","0","0","1","0","0","1900","2999","","","","","","Illuminator, Detects: S, Range: 50km, Ref:5.9km, ERP_dBw: 50 / 40","","50","5.935","60","-30","30","2.5","GenericSensor","0.25","4.8","3.2","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"BGM-109 seeker","","0","0","1","0","0","1900","2999","","","","","","Illuminator, Detects: GS, Range: 60km, Ref:1.2km, ERP_dBw: 36 / 26","Amram's notes: Had no luck with waypoint only targeting-appeared to hit but no dmg done so a very shortrange homing solution to finalise the impact.","60","1.187","60","-30","30","3","GenericSensor","0.43","10.72","7.15","3000000000","3500000000","99","1","0","36","26","0","0","0","0","0","3000000","5","5","-30","1","0","0","1"
"BPS-14 SS","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 40km, Ref:9.4km, ERP_dBw: 29 / 19","","73","2.35","360","0","30","7.5","GenericSensor","0","0.25",".999","9000000000.0","9500000000.0","99","1","1","79.414","44.185","4","0","0","0","-9","3000000.0","10","30","-30","1","0","0","1"
"BPS-15F","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 51km, Ref:11.2km, ERP_dBw: 29 / 19","","51","11.215","360","0","13","6.32","GenericSensor","0","0.15","0.81","3000000000","3500000000","99","1","1","29.21","19.21","4","0","2.5","-3","-12","3000000","5","13","-30","1","0","0","1"
"BPS-15H","","0","0","0","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 51km, Ref:11.2km, ERP_dBw: 29 / 19","Same as -15F in performance?","51","11.215","360","0","13","6.32","GenericSensor","0","0.15","0.81","3000000000","3500000000","99","1","1","29.21","19.21","4","0","2.5","-3","-12","3000000","5","13","-30","1","0","0","1"
"Brimstone Seeker","","0","0","1","0","0","1900","2999","","","","","","Illuminator, Detects: GS, Range: 25km, Ref:22.9km, ERP_dBw: 150 / 150","","25","22.885","180","-90","90","0.4","GenericSensor","0.001","0.002","0.002","93000000000","93001000000","99","1","0","150","150","0","0","0","0","0","1000000","0.01","0.01","-30","1","0","0","1"
"C-703 Seeker","","0","0","1","0","0","1900","2999","","","","","","Illuminator, Detects: S, Range: 20km, Ref:5.2km, ERP_dBw: 50 / 40","set to detect a 25dB target at 20km","20","5.22","60","-30","30","2.5","GenericSensor","0.28","5.74","3.82","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"C-704 Seeker","","0","0","1","0","0","1900","2999","","","","","","Illuminator, Detects: S, Range: 20km, Ref:10.4km, ERP_dBw: 50 / 40","set to detect a 25dB target at 40km","20","10.43","60","-30","30","2.5","GenericSensor","0.28","5.74","3.82","3000000000","3500000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","1","0","0","0"
"Curl Stone SS","","0","0","1","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 40km, Ref:3.6km, ERP_dBw: 53 / 43","","40","3.561","360","-35","70","8.63","GenericSensor","0","0.84","0.56","3000000000","3500000000","99","1","1","53","43","4","0","2.5","-3","-12","3000000","5","5","-30","1","0","0","1"
"Don 2 SS","","0","0","1","0","0","1900","2999","","","","","","Surveilance, Detects: GS, Range: 80km, Ref:7.7km, ERP_dBw: 65 / 55","","80","7.714","360","-35","70","8.63","GenericSensor","0","0.57","0.38","3000000000","3500000000","99","1","1","65","55","4","0","2.5","-3","-12","3000000","5","5","-30","1","0","0","1"
"Don Kay SS","","0","0","1","0","0","1900","2999","","","","","","Surveilance, Detects: S, Range: 75km, Ref:6km, ERP_dBw: 63 / 53","","75","6","360","-35","20","10","GenericSensor","0","0.59","0.39","3000000000","3500000000","99","2","1","63","53","4","0","2.5","0","0","3000000","5","5","-30","1","0","0","0"
"EL/M-2001B AG","","0","0","","","","1900","2999","","","","","","Surveilance, Detects: GS, Range: 12km, Ref:4.3km, ERP_dBw: 36 / 26","Marcos","12","4.286","60","-60","60","2","GenericSensor","0","0","90","3000000000","3500000000","99","2","1","36","26","0","0","0","0","0","3000000","5","5","-30","1","0","0","1"
