DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName nexttumeric,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError numeric,AngleError_deg numeric,ElevationError_deg numeric,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor numeric,IsSurveillance numeric,ERPpeak_dBW numeric,ERPaverage_dBW numeric,MaxFireControlTracks numeric,IsSemiactive numeric,BlindSpeed_mps numeric,LookdownWater_dB numeric,LookdownLand_dB numeric,Bandwidth_Hz numeric,AzimuthBeamwidth_deg numeric,ElevationBeamwidth_deg numeric,EffectiveSidelobes_dB numeric,DetectsSurface numeric,DetectsAir numeric,DetectsMissile numeric,DetectsGround numeric
"1S32","Pat Hand","0","0","0","0","0","1900","2999","","","null","null","null","1S32 Pat Hand; AS; Max=128km; Ref=50.978km","needs updating with accurate details.  Current info 'generated' mathematically. Max range is accurate","128","50.98","360","-5","85","2.4","GenericSensor","0","0.09","0.11","5975000000","6475000000","99","1","1","80","80","6","0","2.5","-3","-12","2000000","1.7","1.7","-30","0","1","1","0"
"1S91","Straight Flush","0","0","0","0","0","1900","2999","","","null","null","null","1S91 Straight Flush; AS; Max=75km; Ref=97.92km","needs updating with accurate details.  Current info 'generated' mathematically.  RangeRange is accurate.","400","97.92","360","-5","80","1.83","GenericSensor","0","0.04","0.01","5975000000","6475000000","99","1","1","80","70","2","0","2.5","-3","-12","2000000","1","1.7","-30","0","1","1","0"
"30N6","Flap Lid","0","0","0","0","0","1900","2999","","","null","null","null","30N6 Flap Lid; AS; Max=100km; Ref=45km","Max range, ref range, elevation limits are accurate.  Error levels tweaked to put a 5v55K missile, which is command guided, within a 50m error level at 35km.  Scan rate boosted as well.","100","45","360","-5","50","2","GenericSensor","0.0008","0.05","0.05","9000000000.0","9500000000.0","99","1","1","80","70","6","0","2.5","-3","-12","3000000.0","5","1.7","-30","0","1","1","0"
"30N6E","Flap Lid B","0","0","0","0","0","1900","2999","","","null","null","null","30N6E Flap Lid-B; AS; Max=150km; Ref=53.856km","needs updating with accurate details.  Current info 'generated' mathematically. Max range, elevation limits are accurate","150","53.856","360","-5","75","6.37","GenericSensor","0","0.09","0.11","9000000000","9500000000","99","1","1","80","70","6","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"36D6","Tin Shield","0","0","0","0","0","1900","2999","","","null","null","null","36D6 Tin Shield; AS; Max=200km; Ref=311.224km","needs updating with accurate details.  Current info 'generated' mathematically. Max range, ref range, elevation limits are accurate","200","311.22","360","-20","30","10","GenericSensor","0","0.23","0.11","3000000000","3500000000","99","1","1","80","70","6","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"3M9M SARH seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Semi-Active seeker for 3M9M","","30","20","90","-45","45","2","GenericSensor","0.32","6.79","4.52","400000000","20000000000","99","1","0","-99","-109","0","1","0","0","0","3000000","5","5","-30","0","1","1","0"
"40N6 Active Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Active seeker for 40N6","","55","53.4","90","-45","45","2","GenericSensor","0.26","5.06","3.37","35000000000","37000000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","0","1","1","0"
"48N6 Active Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","Active seeker for 40N6","","55","53.4","90","-45","45","2","GenericSensor","0.26","5.06","3.37","35000000000","37000000000","99","1","0","50","40","0","0","0","0","0","3000000","5","5","-30","0","1","1","0"
"5N62","Square Pair","0","0","0","0","0","1900","2999","","","null","null","null","5N62 Square pair; AS; Max=270km; Ref=74.239km","needs updating with accurate details.  Current info 'generated' mathematically. Max range is accurate","270","74.24","360","-5","60.5","3.49","GenericSensor","0","0.09","0.11","5975000000","6475000000","99","1","1","80","70","6","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"5N62m2","Square Pair Mod2","0","0","0","0","0","1900","2999","","","null","null","null","5N62 Square Pair Mod2; AS; Max=350km; Ref=97.848km","needs updating with accurate details.  Current info 'generated' mathematically. Max range is accurate","350","97.85","360","-5","60.5","2.23","GenericSensor","0","0.09","0.11","5975000000","6475000000","99","1","1","80","70","6","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
"5V55KD SARH Seeker","","0","0","1","0","0","1900","2999","","","null","null","null","5V55KD SARH seeker","","36","35.65","120","-90","90","1","GenericSensor","0.32","6.79","4.52","400000000.0","20000000000.0","99","1","0","-99","-109","0","1","0","0","0","3000000.0","5","5","-30","0","1","1","0"
"64N6E2","Big Bird","0","0","0","0","0","1900","2999","","","null","null","null","64N6E2 Big Bird; AS; Max=650km; Ref=278.91km","Data needs updating.  Range and ref range are acurate.","650","278.91","360","-5","39","11.03","GenericSensor","0","0.12","0.01","5975000000","6475000000","99","1","1","80","70","0","0","2.5","-3","-12","3000000","5","1.7","-30","0","1","1","0"
