"DatabaseClass text primary key","NATO_ASCC text","ModelClassId integer","ClassificationId integer","Cost numeric","Weight_kg numeric","Volume_m3 numeric","InitialYear numeric","FinalYear numeric","Country text","Designation text","ImageList text","IconFileName text","ModelFileName text","Description text","Notes text","MaxSpeed_kts numeric","Accel_ktsps numeric","TurnRate_degps numeric","FuelCapacity_kg numeric","FuelRate_kgps real","Toughness numeric","DamageEffect text","Draft_m real","FlightportClass text","RCS_dBsm real","RCS_Model text","OpticalCrossSection_dBsm real","IRSignature_dB real","IR_ModelA text","IR_ModelB text","IR_ModelC text","EffectiveHeight_m numeric","TS numeric","TS_Model text","AcousticModel text","SL_Model text"
"AAW cruiser","","1","17","20000000","7000000","0","1900","2999","TEST","TEST","","NONE","type-42.xml","No description is available.","","33","0.3","1","980000","5.988837149","200","Ship5000Dmg","10","","47.222","ShipRCS1","32.854","21.801","ShipIR1","Default","Default","10","20","Default","Default","Default"
"AGI Class San Andres","","1","17","0","1026000","0","1900.1","3000","Columbia","AGI","","none","pg-84.xml","AGI ARC 'SAN ANDRES', 2013, simulation JGT MTN-2009-1","Marcos -amram, former USCGC Gentian(WLB-290)","13","0.1","4","112860","0.025019495","","Ship1000Dmg","2","","34.713","ShipRCS1","30.854","17.73","ShipIR1","Default","Default","11","30","Default","Default","Default"
"AGP Class Cartagena","","2","18","0","3483000","0","1997.84","3000","Columbia","AGP","","none","tanker.xml","AGP type Lurssen class CARTAGENA DE INDIAS as received by the ARC in 1998.","Marcos","19","0.1","7","487620","17.15685178","","Ship3000Dmg","4.29","FFG-7 Helo Deck","42.675","ShipRCS1","32.854","18.114","ShipIR1","Default","Default","14","30","Default","Default","Default"
"ANZAC FFH","","2","18","0","3600000","0","1996.29","3000","Australia","FF","anzac.jpg","none","type-42.xml","Australian ANZAC Class Frigate. A light surface combatant that has been gradually upgraded since introduction into service.","[greengills]","27","0.19","11.11","504000","0.419996371","276","Ship3000Dmg","4","Single Helo Hangar","42.89","ShipRCS1","32.587","26.659","ShipIR1","Default","Default","7","20","Default","S05.Destroyer Silenced","Default"
"ANZAC-II FFG","","2","18","0","3600000","0","2005","2999.9","Australia","FF","anzacii.jpg","none","type-42.xml","Australian ANZAC Class Frigate upgraded with phased array fire control and surveillance radars.","[greengills]","27","0.19","11.11","504000","0.419996371","276","Ship3000Dmg","4","Single Helo Hangar","42.89","ShipRCS1","32.587","26.659","ShipIR1","Default","Default","7","20","Default","S05.Destroyer Silenced","Default"
"Abukuma FFG","","1","17","0","2550000","0","1989.971","2999","Japan","DD","","none","sovremenny.xml","","","27","0.5","7","357000","0.343266265","35","Ship3000Dmg","3.8","None","40.644","ShipRCS1","37.142","21.46","ShipIR1","Default","Default","5.8","15","Default","S03.Frigate Silenced","Default"
"Aconit DD (1984)","","1","17","0","3900000","0","1984","1996","France","DD","","NONE","type-42.xml","","","27","0.3","1.6","546000","0.454996069","200","Ship3000Dmg","5.8","","43.412","ShipRCS1","32.195","21.641","ShipIR1","Default","Default","7","10","Default","S04.Destroyer","Default"
"Aconit DD","","1","17","0","3900000","0","1973.242","1984","France","DD","","NONE","type-42.xml","","","27","0.3","1.6","546000","0.454996069","200","Ship3000Dmg","5.8","","43.412","ShipRCS1","32.195","21.641","ShipIR1","Default","Default","7","10","Default","S04.Destroyer","Default"
"Adelaide FFG","","2","18","0","4100000","0","1980.87","3000","Australia","FF","adelaide.jpg","none","ffg-7.xml","Australian Adelaide Class FFG. Essentially a modified US Oliver Hazard Perry class FFG.","[greengills]","30","0.16","10.41","574000","0.708635853","312","Ship5000Dmg","6.7","OHP Helo Hangar","43.737","ShipRCS1","32.408","23.689","ShipIR1","Default","Default","7","20","Default","S03.Frigate Silenced","Default"
"Akebono DDE","","1","17","0","1350000","0","1956.217","1959","Japan","DD","","none","sovremenny.xml","","","28","0.5","7","189000","0.163331922","35","Ship1000Dmg","3.4","None","36.501","ShipRCS1","35.125","20.265","ShipIR1","Default","Default","4.6","15","Default","S02.Frigate","Default"
"Akebono DDE(1959)","","1","17","0","1350000","0","1959","1976","Japan","DD","","none","sovremenny.xml","","","28","0.5","7","189000","0.163331922","35","Ship1000Dmg","3.4","None","36.501","ShipRCS1","35.125","20.265","ShipIR1","Default","Default","4.6","15","Default","S02.Frigate","Default"
"Akizuki DD","","1","17","0","2890000","0","1960.119","1976","Japan","DD","","none","sovremenny.xml","","","32","0.5","7","404600","0.399601486","35","Ship3000Dmg","4","None","41.459","ShipRCS1","36.68","20.48","ShipIR1","Default","Default","5.8","15","Default","S04.Destroyer","Default"
"Akizuki DD(1976)","","1","17","0","2890000","0","1976","1986","Japan","DD","","none","sovremenny.xml","","","32","0.5","7","404600","0.399601486","35","Ship3000Dmg","4","None","41.459","ShipRCS1","36.68","20.48","ShipIR1","Default","Default","5.8","15","Default","S04.Destroyer","Default"
"Albatros Type 143A","","1","17","0","391000","0","1976.28","2005.95","Germany","PGG","","none","type-22.xml","","","40","0.52","14","54740","0.093571841","140","Ship500Dmg","2.6","","28.428","ShipRCS1","29.268","17.463","ShipIR1","Default","Default","2.4","20","Default","S01.Patrol Craft","Default"
"Albion Class LPD","","2","18","225000000","19558903","0","2003","2999.99","UK","LPD","","none","burke.xml","Albion Class LPD","[phoenixegmh]","18","0.09","7.5","2414160","0.61901","254","Ship20000Dmg","7.1","Double Helo Pad","53.916","ShipRCS1","40.82","19.319","ShipIR1","Default","Default","20","20","Default","S10.Carrier Small","Default"
