DatabaseClass text primary key,Top_dB real,Bottom_dB real,Aspect0 real,Aspect10 real,Aspect20 real,Aspect30 real,Aspect40 real,Aspect50 real,Aspect60 real,Aspect70 real,Aspect80 real,Aspect90 real,Aspect100 real,Aspect110 real,Aspect120 real,Aspect130 real,Aspect140 real,Aspect150 real,Aspect160 real,Aspect170 real,Aspect180 real
"Default","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SubTSDefault","-18","-18","-18","-6.5","-4","-2","0","1.5","3.5","5","7.5","19","7.5","5","3.5","1.5","0","-2","-4","-6.5","-18"
"ShipRCS1","0","0","0","0","0","0","0","0","0","5","8","10","8","5","0","0","0","0","0","0","0"
"AirRCS1","0","0","0","1","-1","-5","-5","-2","0","0","5","10","5","0","-2","-5","-2","0","0","1","3"
"RafaleRCS1","-15","-15","-15","-15","-16","-20","-20","-17","-15","-15","-10","-5","-10","-15","-17","-20","-17","-15","-15","-16","-18"
"F-22RCS","6.02","6.02","-50","-36.2","-33.19","-30.18","-27.17","-24.16","-21.15","-18.14","-15.13","-12.12","-14.76","-16.56","-18.37","-20.18","-21.98","-23.79","-25.6","-27.4","-29.21"
"MissileRCS1","0","0","-3","-3","0","0","0","1","2","3","5","6","5","3","2","1","0","0","0","-3","-3"
"ExocetB2_RCS1","5.32","-5.32","-14.34","-13.37","-7.87","-9.47","-5.32","-4.32","-3.32","-2.32","-0.32","0.68","-0.32","-2.32","-3.32","-4.32","-5.32","-5.32","-5.32","-8.32","-8.32"
"AirIR1","0","0","2","2","2","1","1","0","0","0","0","0","0","2","2","3","3","3","3","4","5"
"AirIR1_AB","0","0","2","2","2","1","1","0","0","0","0","0","0","3","3","4","5","5","5","6","8"
"AirIR1_Super","4","4","4","4","4","3","2","2","1","1","1","1","1","2","2","3","3","3","3","4","5"
"MissileIR1","0","0","0","2","2","1","1","0","0","0","0","0","0","2","2","3","3","3","3","4","5"
"MissileIR1_Super","3","3","6","6","6","4","3","2","2","2","2","2","2","2","2","3","3","3","3","4","5"
"ShipIR1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isotropic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TestBeamOnly","0","0","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","-99","-99","-99","-99","-99","-99","-99","-99"
"TestForwardOnly","0","0","0","0","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99"
"TestAftOnly","0","0","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0"
"F35RCS","10","5","0","0","0","1","2","3","4","6","8","10","10","10","10","10","10","10","10","10","10"
"ShipPrairieMasker","0","0","0","0","0","0","0","0","0","-1","-2","-3","-3","-3","-3","-3","-3","-4","-5","-5","-6"
"IR_FW_S_F_HP_1_M0.85","-2.37","-2.37","-0.37","-0.37","-0.37","-1.37","-1.37","-2.37","-2.37","-2.37","-2.37","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_AB_M0.85","-2.37","-2.37","-0.37","-0.37","-0.37","-1.37","-1.37","-2.37","-2.37","-2.37","-2.37","4.63","7.18","8.61","9.68","10.65","11.62","11.62","12.62","13.61","14.63"
"IR_FW_S_F_HP_1_Super_M1.1","1.89","1.89","1.89","1.89","1.89","0.89","-0.11","-0.11","-1.11","-1.11","-1.11","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M1.2","2.31","2.31","2.31","2.31","2.31","1.31","0.31","0.31","-0.69","-0.69","-0.69","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M1.3","2.69","2.69","2.69","2.69","2.69","1.69","0.69","0.69","-0.31","-0.31","-0.31","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M1.4","3.07","3.07","3.07","3.07","3.07","2.07","1.07","1.07","0.07","0.07","0.07","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M1.5","3.46","3.46","3.46","3.46","3.46","2.46","1.46","1.46","0.46","0.46","0.46","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M1.6","3.83","3.83","3.83","3.83","3.83","2.83","1.83","1.83","0.83","0.83","0.83","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M1.7","4.2","4.2","4.2","4.2","4.2","3.2","2.2","2.2","1.2","1.2","1.2","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M1.8","4.55","4.55","4.55","4.55","4.55","3.55","2.55","2.55","1.55","1.55","1.55","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M1.9","4.91","4.91","4.91","4.91","4.91","3.91","2.91","2.91","1.91","1.91","1.91","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M2","5.25","5.25","5.25","5.25","5.25","4.25","3.25","3.25","2.25","2.25","2.25","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M2.1","5.58","5.58","5.58","5.58","5.58","4.58","3.58","3.58","2.58","2.58","2.58","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M2.2","5.9","5.9","5.9","5.9","5.9","4.9","3.9","3.9","2.9","2.9","2.9","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M2.3","6.21","6.21","6.21","6.21","6.21","5.21","4.21","4.21","3.21","3.21","3.21","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M2.4","6.52","6.52","6.52","6.52","6.52","5.52","4.52","4.52","3.52","3.52","3.52","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M2.5","6.81","6.81","6.81","6.81","6.81","5.81","4.81","4.81","3.81","3.81","3.81","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M2.6","7.1","7.1","7.1","7.1","7.1","6.1","5.1","5.1","4.1","4.1","4.1","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
"IR_FW_S_F_HP_1_Super_M2.7","7.38","7.38","7.38","7.38","7.38","6.38","5.38","5.38","4.38","4.38","4.38","2.17","4.72","6.15","7.22","8.19","9.16","9.16","10.16","11.15","12.17"
