DatabaseClass text primary key,NATO_ASCC text,ModelClassId integer,ClassificationId integer,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,MaxRange_km numeric,RefRange_km numeric,FieldOfView_deg numeric,MinElevation_deg numeric,MaxElevation_deg numeric,ScanPeriod_s numeric,DamageEffect text,RangeError real,AngleError_deg real,ElevationError_deg real,MinFrequency_Hz numeric,MaxFrequency_Hz numeric,IdThreshold_dB real,CounterMeasureFactor real,IsSurveillance integer,SL numeric,DI numeric,isPassive integer,isActive integer,isTowed integer,maxScope_m numeric,isWakeHoming integer
"21HS7-ACT","","0","0","","","","1900","2999","","","","","","Active Sonar, Max Range: 6km, Scan Rate: 10s, Performance: 235dB","Marcos Viniegra","6","1","360","-90","90","10","GenericSensor","0","0","90","500","10000","99","1","1","213.6363636","21.36363636","0","1","0","0","0"
"21HS7-PAS","","0","0","","","","1900","2999","","","","","","Passive Sonar, Max Range: 15km, Scan Rate: 10s, Performance: 15DI","Marcos Viniegra","15","1","360","-90","90","10","GenericSensor","0.33","3","90","500","10000","10","1","1","0","15","1","0","0","0","0"
"A-244S Mod1 Seeker","","0","0","","","","1900","2999","","","","","","Active/Passive Sonar, Max Range: 20km, Scan Rate: 5s, Performance: 220dB / 20DI","Better CM resistance","20","1","90","-45","45","5","GenericSensor","0","0","90","500","10000","10","0.75","0","200","20","1","1","0","0","0"
"A-244S Seeker","","0","0","","","","1900","2999","","","","","","Active/Passive Sonar, Max Range: 20km, Scan Rate: 5s, Performance: 220dB / 20DI","Marcos Viniegra","20","1","90","-45","45","5","GenericSensor","0","0","90","500","10000","10","1","0","200","20","1","1","0","0","0"
"AQS-13B DS Active","","0","0","","","","1900","2999","","","","","","Active Dipping Sonar, Max Range: 25km, Scan Rate: 32.1s, Performance: 209dB","Marcos Viniegra","25","1","360","-90","90","32.051","GenericSensor","0.1","4.4","90","500","10000","99","1","1","190","19","0","1","0","300","0"
"AQS-13B DS Passive","","0","0","","","","1900","2999","","","","","","Passive Dipping Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 24DI","Marcos Viniegra","200","1","360","-90","90","10","GenericSensor","0.4","2.2","90","500","10000","10","1","1","0","24","1","0","0","300","0"
"AQS-13F DS Active","","0","0","","","","1900","2999","","","","","","Active Dipping Sonar, Max Range: 25km, Scan Rate: 32.1s, Performance: 214dB","","25","1","360","-90","90","32.051","GenericSensor","0.075","4","90","500","10000","99","1","1","194.5454545","19.45454545","0","1","0","457","0"
"AQS-13F DS Passive","","0","0","","","","1900","2999","","","","","","Passive Dipping Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 24DI","","200","1","360","-90","90","10","GenericSensor","0.3","2","90","500","10000","10","1","1","0","24","1","0","0","457","0"
"AQS-18 DS Active","","0","0","","","","1900","2999","","","","","","Active Dipping Sonar, Max Range: 25km, Scan Rate: 32.1s, Performance: 217dB","","25","1","360","-90","90","32.051","GenericSensor","0.075","4","90","500","10000","99","1","1","197.2727273","19.72727273","0","1","0","457","0"
"AQS-18 DS Passive","","0","0","","","","1900","2999","","","","","","Passive Dipping Sonar, Max Range: 400km, Scan Rate: 10s, Performance: 27DI","","400","1","360","-90","90","10","GenericSensor","0.3","2","90","500","10000","10","1","1","0","27","1","0","0","457","0"
"AQS-22 DS Active","","0","0","","","","1900","2999","","","","","","Active Dipping Sonar, Max Range: 30km, Scan Rate: 38.5s, Performance: 220dB","","30","1","360","-90","90","38.462","GenericSensor","0.05","3.6","90","500","10000","99","1","1","200","20","0","1","0","457","0"
"AQS-22 DS Passive","","0","0","","","","1900","2999","","","","","","Passive Dipping Sonar, Max Range: 200km, Scan Rate: 10s, Performance: 30DI","","200","1","360","-90","90","10","GenericSensor","0.2","1.8","90","500","10000","10","1","1","0","30","1","0","0","457","0"
