DatabaseClass text primary key,NATO_ASCC text,ModelClassId numeric,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes nextutmeric,DisplayName text,Capacity numeric,MaxVolume_m3 numeric,MaxWeight_kg numeric,MoveTime_s numeric,Class1 text,Class2 text,Class3 text,Class4 text
".30cal x1 Ammo Box","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Box","2516","0","0","60",".30 cal bullet","","",""
"054 VLS 36 Cell Block","","0","0","0","0","0","1900","2999","","","","","","","","VLS Cells","32","0","0","0","HQ-16;9M317","","",""
"100mm AK-100 Magazine 350 rounds","","0","0","0","0","0","1900","2999","","","","","","","","Ammo Magazine","350","0","0","60","100mm OF-58 FRAG","","",""
"100mm/45 1930 x8 3200 rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","3200","","0","0","100mm OEA Mle 1928","","",""
"100mm/55 Model 1953 1800 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","1800","1800","0","0","100mm OEA F1 HE","100mm OPF F4 PFHE","",""
"100mm/55 Model 1968 1200 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","1200","1200","0","0","100mm OEA F1 HE","100mm OPF F4 PFHE","",""
"100mm/55 Model 1968 600 rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","600","600","0","0","100mm OEA F1 HE","100mm OPF F4 PFHE","",""
"100mm/55 model 1964 2400 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","2400","2400","0","0","100mm OEA F1 HE","100mm OPF F4 PFHE","",""
"100mm/56 Type 79A Magazine 300 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","300","300","0","0","100mm OF-58 FRAG","100mm ZS-58 AA;100mm ZS-58P AA","",""
"100mm/56 Type 79A Magazine x2 600 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","600","600","0","0","100mm OF-58 FRAG","100mm ZS-58 AA;100mm ZS-58P AA","",""
"100mm/56 Type 79A Magazine x2 800 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","800","","0","0","100mm OF-58 FRAG","100mm ZS-58 AA;100mm ZS-58P AA","",""
"114mm/55(4.5in) mk8 800 rounds","","0","0","0","0","0","1900","2999","","","","","","","","114mm/55(4.5in) mk6 mod0 Mag","800","0","0","30","114mm N4A1 HE","114mm N4A1 HE-ER","114mm N4A1 HE(AA fuse)","114mm N4A1 HE-ER(AA fuse)"
"12.7mm store","","0","0","0","0","0","1900","2999","","","","","","","Generic stores","Machine gun ammo store","300","0","0","","12.7x108mm","","",""
"127/54 Compact polvorin Lupo","","0","0","","","","1900","2999","","","","","","","","","518","0","0","240","127/54 Compact","ALEX chaff","SCLAR",""
"127mm Mk-42 500 Rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","500","500","0","50","127mm mk 41 HC","127mm mk 41 AAC","",""
"127mm Mk-45 1200 rounds","","0","0","0","0","0","1900","2999","","","","","","","","2 Deck Gun store","1200","1200","0","0","127mm mk 80 HE-PD EX-175;127mm mk 80 HE-PD mk 67;127mm mk 127 HE-CVT mk 67;127mm mk 127 HE-CVT EX-175","","",""
"127mm Mk-45 680 rounds","","0","0","0","0","0","1900","2999","","","","","","","","Deck Gun store","680","680","0","0","127mm mk 80 HE-PD EX-175;127mm mk 80 HE-PD mk 67;127mm mk 127 HE-CVT mk 67;127mm mk 127 HE-CVT EX-175","","",""
