DatabaseClass text primary key,NATO_ASCC text,ModelClassId text,ClassificationId numeric,Cost numeric,Weight_kg numeric,Volume_m3 numeric,InitialYear numeric,FinalYear numeric,Country text,Designation text,ImageList text,IconFileName text,ModelFileName text,Description text,Notes text,Damage numeric,DamageModel text,DamageEffect text,LaunchSpeed_mps numeric,targetFlags numeric,MinLaunchAlt_m numeric,MaxLaunchAlt_m numeric,MinRange_km numeric,MaxRange_km numeric,ProbNoFaults numeric,PayloadClass text,PayloadQuantity numeric,DatalinkRange_km real,AcceptsUserCommands numeric,DetonationRange_m numeric,TS numeric,TS_Model text,AcousticModel text,SL_Model text,maxTurnRate_degps numeric,maxDepth_m numeric,battery_kJ numeric,batteryRate_kW numeric,maxSpeed_kts numeric,acceleration_ktsps numeric,sonarClass text,wireGuidance numeric,preEnableSpeed_kts numeric,WeaponType numeric
"53-56","","9","130","","1900","1","1956","2999","Russia","","","torp/ico53-56.jpg","65-76.xml","530mm torpedo","","205","Blast400kg","SubDmg1","5","1","-999","0","1","13","0.95","","","0","0","10","-15","Default","T1:very large torpedo","Default","10","400","540","1","50","1.5","","0","40","1"
"53-56V","","9","130","","1900","1","1964","2999","Russia","","","torp/ico53-56V.jpg","65-76.xml","530mm torpedo","","205","Blast400kg","SubDmg1","5","1","-999","0","1","8","0.95","","","0","0","10","-15","Default","T1:very large torpedo","Default","10","400","333","1","50","1.5","","0","40","1"
"53-65","","9","130","500000","900","2","1965","2999","Russia","","","torp/ico53-65.jpg","65-76.xml","Initial version of wake homing anti-surface torpedo based on the 53-61. Not effective vs. submarines.","","200","Blast300kg","SubDmg1","5","1","-200","0","1","18","0.95","","","0","0","10","-15","Default","T2:large torpedo","Default","20","200","778","1","45","3","Passive wake homer","0","45","1"
"53-65K","","9","130","500000","900","2","1969","2999","Russia","","","torp/ico53-65K.jpg","65-76.xml","Upgrade to 53-65 wake homing anti-surface torpedo with kerosene-oxygen turbine. Not effective vs. submarines.","","200","Blast300kg","SubDmg1","5","1","-200","0","1","19","0.95","","","0","0","10","-15","Default","T2:large torpedo","Default","20","200","821","1","45","3","Passive wake homer","0","45","1"
"53-65KE","","9","130","500000","900","2","1969","2999","Russia","","","torp/ico53-65KE.jpg","65-76.xml","Export version of 53-65K.","","200","Blast300kg","SubDmg1","5","1","-200","0","1","19","0.95","","","0","0","10","-15","Default","T2:large torpedo","Default","20","200","821","1","45","3","Passive wake homer","0","45","1"
"53-65M","","9","130","500000","900","2","1969","2999","Russia","","","torp/ico53-65M.jpg","65-76.xml","Wake homing anti-surface torpedo. Not effective vs. submarines.","based off of the assumption that the pre-enable range by default is 50%(some in game testing suggets this), battery life has been extended to allow the torpedo to reach  22km in normal usage.  if 50% is accurate, then the torpedo is covering 11km in pre-enable, and the remainder enabled.  at 30kts 11km takes 713 seconds, and at 44 kts 11km takes 486 seconds, for a total of 1200 seconds, not 980, which is only sufficient for 18km under normal usage.","200","Blast300kg","SubDmg1","5","1","-200","0","1","22","0.95","","","0","0","10","-15","Default","T2:large torpedo","Default","20","200","1200","1","44","3","Passive wake homer","0","30","1"
"65-76 Kit","","9","130","500000","900","2","1976","2002","Russia","","","torp/ico65-76KIT.jpg","65-76.xml","Wake homing anti-surface torpedo. Not effective vs. submarines.","","200","Blast600kg","SubDmg1","5","1","-999","0","1","50","0.95","","","0","0","10","-15","Default","T2:large torpedo","Default","20","200","2592","1","50","3","Passive wake homer","0","30","1"
"A-184","","9","130","","1265","2","1974","2999","Italy","","","torp/icoA-184.jpg","mk-46.xml","533 mm torpedo","http://www.navweaps.com/Weapons/WTIT_PostWWII.htm","34","Blast250kg","SubDmg1","0","17","-999","0","1","25","0.9","","","0","0","10","-15","Default","T1:very large torpedo","Default","40","400","1500","1","36","3","Generic torpedo seeker","1","25","1"
"A-244S","","9","130","","235","2","1972","2999","Italy","","","torp/icoA-244S.jpg","mk-46.xml","","Marcos Viniegra","34","Blast50kg","SubDmg1","0","16","-999","500","1","6","0.95","","","0","0","10","-15","Default","T4:small torpedo","Default","40","520","418","1","35.5","3","A-244S Seeker","0","23","1"
"A-244S Mod1","","9","130","","235","2","1987","2999","Italy","","","torp/icoA-244S1.jpg","mk-46.xml","","","34","Blast50kg","SubDmg1","0","16","-999","500","1","6","0.95","","","0","0","10","-15","Default","T4:small torpedo","Default","40","520","418","1","35.5","3","A-244S Mod1 Seeker","0","23","1"
