DatabaseClass text primary key,MaxRange_m real,ProbDetonate real,IsPenetration integer,BlastCharge_kg real,FragCharge_kg real,RadCharge_kg real,FragMetal_kg real,FragFragment_kg real,FragSpread real
"1lb bomblet","65.65355519","0.85","0","0.04536","0.20412","0","0.20412","0.0003402","1"
"1kg Pen bomblet","2","0.85","1","2.5","0","0","0","0","0"
"1800 1lb bomblet","604.8678465","0.85","0","277.78","269.61","0","269.61","0.0003402","1"
"ExplosiveProjectile3kg","50","0.85","1","3","0","0","0","0","1"
"Harmless","0","0","0","0","0","0","0","0","1"
"NuclearUW-5kT","2000","0.9","0","5500000","0","2500000","0","0","1"
"Nuclear-1kT","4000","0.9","0","1100000","0","500000","0","0","1"
"Nuclear-2kT","4924.577653","0.9","0","2200000","0","1000000","0","0","1"
"Nuclear-3kT","5561.556681","0.9","0","3300000","0","1500000","0","0","1"
"Nuclear-4kT","6062.866266","0.9","0","4400000","0","2000000","0","0","1"
"Nuclear-5kT","6482.626387","0.9","0","5500000","0","2500000","0","0","1"
"Nuclear-6kT","6847.079438","0.9","0","6600000","0","3000000","0","0","1"
"Nuclear-7kT","7171.15985","0.9","0","7700000","0","3500000","0","0","1"
"Nuclear-8kT","7464.263932","0.9","0","8800000","0","4000000","0","0","1"
"Nuclear-9kT","7732.72818","0.9","0","9900000","0","4500000","0","0","1"
"Nuclear-10kT","7981.04926","0.9","0","11000000","0","5000000","0","0","1"
"Nuclear-12kT","8429.743597","0.9","0","13200000","0","6000000","0","0","1"
"Nuclear-14kT","8828.733387","0.9","0","15400000","0","7000000","0","0","1"
"Nuclear-15kT","9013.373523","0.9","0","16500000","0","7500000","0","0","1"
"Nuclear-16kT","9189.58684","0.9","0","17600000","0","8000000","0","0","1"
"Nuclear-18kT","9520.105098","0.9","0","19800000","0","9000000","0","0","1"
"Nuclear-20kT","9825.824209","0.9","0","22000000","0","10000000","0","0","1"
"Nuclear-22kT","10110.8297","0.9","0","24200000","0","11000000","0","0","1"
"Nuclear-24kT","10378.23174","0.9","0","26400000","0","12000000","0","0","1"
"Nuclear-25kT","10506.11122","0.9","0","27500000","0","12500000","0","0","1"
"Nuclear-26kT","10630.45848","0.9","0","28600000","0","13000000","0","0","1"
"Nuclear-28kT","10869.44579","0.9","0","30800000","0","14000000","0","0","1"
"Nuclear-30kT","11096.76446","0.9","0","33000000","0","15000000","0","0","1"
"Nuclear-32kT","11313.7085","0.9","0","35200000","0","16000000","0","0","1"
"Nuclear-34kT","11521.35786","0.9","0","37400000","0","17000000","0","0","1"
"Nuclear-35kT","11621.98752","0.9","0","38500000","0","17500000","0","0","1"
"Nuclear-36kT","11720.62421","0.9","0","39600000","0","18000000","0","0","1"
"Nuclear-38kT","11912.28486","0.9","0","41800000","0","19000000","0","0","1"
"Nuclear-40kT","12097.00858","0.9","0","44000000","0","20000000","0","0","1"
"Nuclear-42.5kT","12319.03447","0.9","0","46750000","0","21250000","0","0","1"
"Nuclear-45kT","12532.09693","0.9","0","49500000","0","22500000","0","0","1"
"Nuclear-47.5kT","12737.02714","0.9","0","52250000","0","23750000","0","0","1"
"Nuclear-50kT","12934.54013","0.9","0","55000000","0","25000000","0","0","1"
"Nuclear-52.5kT","13125.25599","0.9","0","57750000","0","26250000","0","0","1"
"Nuclear-55kT","13309.71629","0.9","0","60500000","0","27500000","0","0","1"
"Nuclear-57.5kT","13488.39715","0.9","0","63250000","0","28750000","0","0","1"
"Nuclear-60kT","13661.71957","0.9","0","66000000","0","30000000","0","0","1"
"Nuclear-62.5kT","13830.05784","0.9","0","68750000","0","31250000","0","0","1"
"Nuclear-65kT","13993.74637","0.9","0","71500000","0","32500000","0","0","1"
"Nuclear-67.5kT","14153.08527","0.9","0","74250000","0","33750000","0","0","1"
"Nuclear-70kT","14308.345","0.9","0","77000000","0","35000000","0","0","1"
"Nuclear-72.5kT","14459.77028","0.9","0","79750000","0","36250000","0","0","1"
"Nuclear-75kT","14607.58326","0.9","0","82500000","0","37500000","0","0","1"
"Nuclear-77.5kT","14751.98636","0.9","0","85250000","0","38750000","0","0","1"
"Nuclear-80kT","14893.16453","0.9","0","88000000","0","40000000","0","0","1"
"Nuclear-82.5kT","15031.2873","0.9","0","90750000","0","41250000","0","0","1"
"Nuclear-85kT","15166.51046","0.9","0","93500000","0","42500000","0","0","1"
"Nuclear-87.5kT","15298.97755","0.9","0","96250000","0","43750000","0","0","1"
"Nuclear-90kT","15428.82113","0.9","0","99000000","0","45000000","0","0","1"
"Nuclear-92.5kT","15556.16393","0.9","0","101750000","0","46250000","0","0","1"
"Nuclear-95kT","15681.11981","0.9","0","104500000","0","47500000","0","0","1"
"Nuclear-97.5kT","15803.79458","0.9","0","107250000","0","48750000","0","0","1"
"Nuclear-100kT","15924.28682","0.9","0","110000000","0","50000000","0","0","1"
"Nuclear-105kT","16159.08558","0.9","0","115500000","0","52500000","0","0","1"
"Nuclear-110kT","16386.18285","0.9","0","121000000","0","55000000","0","0","1"
"Nuclear-115kT","16606.1648","0.9","0","126500000","0","57500000","0","0","1"
"Nuclear-120kT","16819.54972","0.9","0","132000000","0","60000000","0","0","1"
"Nuclear-125kT","17026.79845","0.9","0","137500000","0","62500000","0","0","1"
"Nuclear-130kT","17228.32267","0.9","0","143000000","0","65000000","0","0","1"
"Nuclear-135kT","17424.49186","0.9","0","148500000","0","67500000","0","0","1"
"Nuclear-140kT","17615.63902","0.9","0","154000000","0","70000000","0","0","1"
"Nuclear-145kT","17802.06539","0.9","0","159500000","0","72500000","0","0","1"
"Nuclear-150kT","17984.04452","0.9","0","165000000","0","75000000","0","0","1"
"Nuclear-155kT","18161.82559","0.9","0","170500000","0","77500000","0","0","1"
"Nuclear-160kT","18335.63631","0.9","0","176000000","0","80000000","0","0","1"
"Nuclear-165kT","18505.68539","0.9","0","181500000","0","82500000","0","0","1"
"Nuclear-170kT","18672.16463","0.9","0","187000000","0","85000000","0","0","1"
"Nuclear-175kT","18835.25074","0.9","0","192500000","0","87500000","0","0","1"
"Nuclear-180kT","18995.10694","0.9","0","198000000","0","90000000","0","0","1"
"Nuclear-185kT","19151.88432","0.9","0","203500000","0","92500000","0","0","1"
"Nuclear-190kT","19305.72304","0.9","0","209000000","0","95000000","0","0","1"
"Nuclear-195kT","19456.75341","0.9","0","214500000","0","97500000","0","0","1"
"Nuclear-200kT","19605.09676","0.9","0","220000000","0","100000000","0","0","1"
"Nuclear-210kT","19894.16794","0.9","0","231000000","0","105000000","0","0","1"
"Nuclear-220kT","20173.75748","0.9","0","242000000","0","110000000","0","0","1"
"Nuclear-230kT","20444.58701","0.9","0","253000000","0","115000000","0","0","1"
"Nuclear-240kT","20707.29468","0.9","0","264000000","0","120000000","0","0","1"
"Nuclear-250kT","20962.44779","0.9","0","275000000","0","125000000","0","0","1"
"Nuclear-260kT","21210.5532","0.9","0","286000000","0","130000000","0","0","1"
"Nuclear-270kT","21452.06581","0.9","0","297000000","0","135000000","0","0","1"
"Nuclear-280kT","21687.39556","0.9","0","308000000","0","140000000","0","0","1"
"Nuclear-290kT","21916.91335","0.9","0","319000000","0","145000000","0","0","1"
"Nuclear-300kT","22140.95594","0.9","0","330000000","0","150000000","0","0","1"
"Nuclear-310kT","22359.83011","0.9","0","341000000","0","155000000","0","0","1"
"Nuclear-320kT","22573.81621","0.9","0","352000000","0","160000000","0","0","1"
"Nuclear-330kT","22783.17118","0.9","0","363000000","0","165000000","0","0","1"
"Nuclear-340kT","22988.13116","0.9","0","374000000","0","170000000","0","0","1"
"Nuclear-350kT","23188.91372","0.9","0","385000000","0","175000000","0","0","1"
"Nuclear-360kT","23385.71979","0.9","0","396000000","0","180000000","0","0","1"
"Nuclear-370kT","23578.73538","0.9","0","407000000","0","185000000","0","0","1"
"Nuclear-380kT","23768.13307","0.9","0","418000000","0","190000000","0","0","1"
"Nuclear-390kT","23954.07326","0.9","0","429000000","0","195000000","0","0","1"
"Nuclear-400kT","24136.70535","0.9","0","440000000","0","200000000","0","0","1"
"Nuclear-410kT","24316.16873","0.9","0","451000000","0","205000000","0","0","1"
"Nuclear-420kT","24492.59372","0.9","0","462000000","0","210000000","0","0","1"
"Nuclear-430kT","24666.10228","0.9","0","473000000","0","215000000","0","0","1"
"Nuclear-440kT","24836.80881","0.9","0","484000000","0","220000000","0","0","1"
"Nuclear-450kT","25004.82074","0.9","0","495000000","0","225000000","0","0","1"
"Nuclear-460kT","25170.23909","0.9","0","506000000","0","230000000","0","0","1"
"Nuclear-470kT","25333.15899","0.9","0","517000000","0","235000000","0","0","1"
"Nuclear-480kT","25493.67016","0.9","0","528000000","0","240000000","0","0","1"
"Nuclear-490kT","25651.8573","0.9","0","539000000","0","245000000","0","0","1"
"Nuclear-500kT","25807.80049","0.9","0","550000000","0","250000000","0","0","1"
"Nuclear-520kT","26113.25408","0.9","0","572000000","0","260000000","0","0","1"
"Nuclear-540kT","26410.59097","0.9","0","594000000","0","270000000","0","0","1"
"Nuclear-550kT","26556.37534","0.9","0","605000000","0","275000000","0","0","1"
"Nuclear-560kT","26700.31589","0.9","0","616000000","0","280000000","0","0","1"
"Nuclear-580kT","26982.88543","0.9","0","638000000","0","290000000","0","0","1"
"Nuclear-600kT","27258.71421","0.9","0","660000000","0","300000000","0","0","1"
"Nuclear-620kT","27528.17992","0.9","0","682000000","0","310000000","0","0","1"
"Nuclear-640kT","27791.62772","0.9","0","704000000","0","320000000","0","0","1"
"Nuclear-650kT","27921.19478","0.9","0","715000000","0","325000000","0","0","1"
"Nuclear-660kT","28049.37392","0.9","0","726000000","0","330000000","0","0","1"
"Nuclear-680kT","28301.70926","0.9","0","748000000","0","340000000","0","0","1"
"Nuclear-700kT","28548.90158","0.9","0","770000000","0","350000000","0","0","1"
"Nuclear-720kT","28791.19827","0.9","0","792000000","0","360000000","0","0","1"
"Nuclear-740kT","29028.82834","0.9","0","814000000","0","370000000","0","0","1"
"Nuclear-750kT","29145.96039","0.9","0","825000000","0","375000000","0","0","1"
"Nuclear-760kT","29262.00425","0.9","0","836000000","0","380000000","0","0","1"
"Nuclear-780kT","29490.92347","0.9","0","858000000","0","390000000","0","0","1"
"Nuclear-800kT","29715.76994","0.9","0","880000000","0","400000000","0","0","1"
"Nuclear-820kT","29936.71529","0.9","0","902000000","0","410000000","0","0","1"
"Nuclear-840kT","30153.91992","0.9","0","924000000","0","420000000","0","0","1"
"Nuclear-850kT","30261.16678","0.9","0","935000000","0","425000000","0","0","1"
"Nuclear-860kT","30367.53402","0.9","0","946000000","0","430000000","0","0","1"
"Nuclear-880kT","30577.69842","0.9","0","968000000","0","440000000","0","0","1"
"Nuclear-900kT","30784.54536","0.9","0","990000000","0","450000000","0","0","1"
"Nuclear-920kT","30988.19923","0.9","0","1012000000","0","460000000","0","0","1"
"Nuclear-940kT","31188.77716","0.9","0","1034000000","0","470000000","0","0","1"
"Nuclear-950kT","31287.94741","0.9","0","1045000000","0","475000000","0","0","1"
"Nuclear-960kT","31386.38959","0.9","0","1056000000","0","480000000","0","0","1"
"Nuclear-980kT","31581.14081","0.9","0","1078000000","0","490000000","0","0","1"
"Nuclear-1000kT","31773.12939","0.9","0","1100000000","0","500000000","0","0","1"
"Nuclear-1025kT","32009.3718","0.9","0","1127500000","0","512500000","0","0","1"
"Nuclear-1050kT","32241.6145","0.9","0","1155000000","0","525000000","0","0","1"
"Nuclear-1075kT","32470.01809","0.9","0","1182500000","0","537500000","0","0","1"
"Nuclear-1100kT","32694.73314","0.9","0","1210000000","0","550000000","0","0","1"
"Nuclear-1125kT","32915.90105","0.9","0","1237500000","0","562500000","0","0","1"
"Nuclear-1150kT","33133.65481","0.9","0","1265000000","0","575000000","0","0","1"
"Nuclear-1175kT","33348.11967","0.9","0","1292500000","0","587500000","0","0","1"
"Nuclear-1200kT","33559.41372","0.9","0","1320000000","0","600000000","0","0","1"
"Nuclear-1225kT","33767.64846","0.9","0","1347500000","0","612500000","0","0","1"
"Nuclear-1250kT","33972.92929","0.9","0","1375000000","0","625000000","0","0","1"
"Nuclear-1275kT","34175.35596","0.9","0","1402500000","0","637500000","0","0","1"
"Nuclear-1300kT","34375.02297","0.9","0","1430000000","0","650000000","0","0","1"
"Nuclear-1325kT","34572.01994","0.9","0","1457500000","0","662500000","0","0","1"
"Nuclear-1350kT","34766.43197","0.9","0","1485000000","0","675000000","0","0","1"
"Nuclear-1375kT","34958.33991","0.9","0","1512500000","0","687500000","0","0","1"
"Nuclear-1400kT","35147.82068","0.9","0","1540000000","0","700000000","0","0","1"
"Nuclear-1425kT","35334.94752","0.9","0","1567500000","0","712500000","0","0","1"
"Nuclear-1450kT","35519.79021","0.9","0","1595000000","0","725000000","0","0","1"
"Nuclear-1475kT","35702.41529","0.9","0","1622500000","0","737500000","0","0","1"
"Nuclear-1500kT","35882.88631","0.9","0","1650000000","0","750000000","0","0","1"
"Nuclear-1550kT","36237.60617","0.9","0","1705000000","0","775000000","0","0","1"
"Nuclear-1600kT","36584.40415","0.9","0","1760000000","0","800000000","0","0","1"
"Nuclear-1650kT","36923.69667","0.9","0","1815000000","0","825000000","0","0","1"
"Nuclear-1700kT","37255.86642","0.9","0","1870000000","0","850000000","0","0","1"
"Nuclear-1750kT","37581.26599","0.9","0","1925000000","0","875000000","0","0","1"
"Nuclear-1800kT","37900.22104","0.9","0","1980000000","0","900000000","0","0","1"
"Nuclear-1850kT","38213.03304","0.9","0","2035000000","0","925000000","0","0","1"
"Nuclear-1900kT","38519.98165","0.9","0","2090000000","0","950000000","0","0","1"
"Nuclear-1950kT","38821.32685","0.9","0","2145000000","0","975000000","0","0","1"
